Role,Dialogue
고객,문의 사항이 있어요.
상담사,제 증권 계좌 상태를 알려 주세요.
고객,안녕하세요?
상담사,공공증권 상담원입니다.
고객,무슨 상태가 궁금하십니까?
상담사,제 미수금이 얼마 정도 있어요.
고객,미수금 현황은 백이십칠만삼천오백구십오원입니다.
상담사,알겠습니다.
고객,2번째 로 제 증권 계좌의 예치금은 어느 정도 있습니까?
상담사,지금 기준 예치금 잔액은 125 12501 원이 있습니다.
고객,다음 제 증권 계좌에 인출 가능 금액은 얼마 정도 있습니까?
상담사,영시 영분 기준 인출 가능 금액 잔액은 148 14597 원이 있는 상태입니다.
고객,물어볼 게 있어요.
상담사,계좌 상태를 알고 싶어요.
고객,공 공 증권 상담원 000입니다.
상담사,무슨 현황이 궁금하신가요?
고객,먼저 내 계좌의 미수금은 얼마예요?
상담사,"현재 시각 영시 영분 기준 미수금 잔액은 127만, 삼천오백구십오원이 있는 상황이에요."
고객,다음 제 증권 계좌의 예치금 금액이 얼마예요?
상담사,지금 기준 예치금 상황은?
고객,백이십오만이천오백일원이 존재합니다.
상담사,마지막으로 내 인출 가능 금액은 얼마 정도 있습니까?
고객,지금 인출 가능 금액 상태는 백사십팔만사천오백구십칠원입니다.
상담사,보험 잔액을 어디서 확인하지요?
고객,모바일 어플리케이션을 통해서 방문하셔서.
상담사,정보를 얻을 수 있어요.
고객,진짜로 못 찾으면 어떻게 하나요?
상담사,다시 상담사에게 전화를 주시면 됩니다.
고객,
