Role,Dialogue
고객,변액보험의 해지환급금에 대해 조회할 수 있죠?
상담사,"네, 조회하실 수 있습니다."
고객,그동안 납입했던 보험료는 해지환급금을 한 번도 확인해 보지 않았는데 조회는 어디서 하나요?
상담사,변액보험은 수익률을 확인하셔야 합니다.
고객,수익률로 설명해 주세요.
상담사,변액보험은 투자에 의한 수익률입니다.
고객,납입한 보험료로 투자를 한다고요?
상담사,보장성 보험에 투입하고 나머지 금액은 투자에 투입됩니다.
고객,아 가입할 때 설명을 제대로 못 들었네요.
상담사,저금리 상황에서는 손해를 볼 수 있다는 건가요?
고객,가입하신 상품에 따라 다르지만 최저 보증이 되는 상품은 손해를 보지 않습니다.
상담사,변동 이율입니다.
고객,그럼 확인을 고객센터에 물어볼 수 있나요?
상담사,고객센터에 확인하셔도 됩니다.
고객,고객센터 말고 다른 방법으로 확인할 수도 있나요?
상담사,보험회사 모바일 앱을 다운 받으시면 휴대폰에서 가능하십니다.
고객,아 제가 바로 확인할 수도 있군요?
상담사,펀드 비율을 변경도 가능한가요?
고객,고객님?
상담사,안정적 공격적 비율은?
고객,고객님의 판단이십니다.
상담사,해지를 할거면 수익률을 자주 확인해야 하나요?
고객,"네, 그렇습니다."
상담사,고객님.
고객,
