Role,Dialogue
고객,보험계약으로 담보 대출을 받을 경우 바로 입금되나요?
상담사,"보험사에 따라 십분에서 이십분 정도 소요될 수 있고, 전산 장애 발생 시 지급이 지연될 수 있습니다."
고객,온라인으로 보험사 홈페이지에서 보험담보대출을 신청하는 시간은 정해져 있나요?
상담사,1년 삼백육십오일 24시간.
고객,어느 때나 대출 조회 및 신청이 가능합니다.
상담사,신용등급에 따라 보험담보대출 조건이 다른가요?
고객,그렇지 않습니다.
상담사,담보 대출이므로 신용과는 무관합니다.
고객,대출금에 대한 중도 상환 수수료는 있나요?
상담사,중도 상환 수수료는 없습니다.
고객,대출금액은 어떤 기준으로 정한하여 해지환급금 범위 내에서 대출받으실 수 있습니다.
상담사,금리는 높나요?
고객,보험사마다 금리가 다르지만 대체로 이 금융권 신용대출보다는 훨씬 저렴합니다.
상담사,휴일에 대출 신청해도 바로 입금되는 거죠?
고객,네 1년 삼백육십오일.
상담사,어느 때나 바로 입금됩니다.
고객,다른 문의사항 있으십니까?
상담사,없습니다.
고객,감사합니다.
상담사,
