Role,Dialogue
고객,보험금 잔고란 무엇인가요?
상담사,보험금 잔고는 보험 적립 책임 준비금으로 장기 가입자께서 보험금을 매월 입금할 때마다 일부 보험금이 적립되는 형태를 말합니다.
고객,보험금 잔고를 인출할 수 있나요?
상담사,네 인출 가능합니다.
고객,"단, 보험 갱신 시 추가 요금이 붙을 수 있습니다."
상담사,보험 갱신 시 추가 요금이 붙는다고요?
고객,"네, 책임 준비금이 일정액 쌓여 있어야 갱신이 되는데 부족한 부분이 있으면 추가 요금이 부과됩니다."
상담사,그럼 보험금 잔고가 전혀 없을 수도 있나요?
고객,보험금 잔고를 전액 인출하신 경우가 잔고가 없을 수도 있습니다.
상담사,내 보험금 잔고 금액을 확인할 수 있나요?
고객,인터넷이나 모바일로만 확인하셔야 합니다.
상담사,알겠어요?
고객,잔고가 있다면 인출할 수 있다는 거죠?
상담사,"네, 가능합니다."
고객,단 인출하신 만큼 만기 시 수령액이 줄어들고 갱신 시 추가 요금도 청구됩니다.
상담사,인출하지 않는 것이 이익이겠죠?
고객,"네, 그렇습니다."
상담사,그냥 놔두시면 만기 수령액이 훨씬 커집니다.
고객,해지하는 것보다 보험금 잔고를 인출하는 게 낫겠죠.
상담사,보험료 납부가 힘드신 경우에는 해지하시는 것보다 보험금 잔고를 찾아 쓰시고 재납입하시는 것이 유리합니다.
고객,보험료 잔고는 매월 납입액 중 얼마나 적립되나요?
상담사,고객님의 경우 십 프로입니다.
고객,진짜 얼마 안 되네요 해지할지 고민해 봐야겠어요.
상담사,
