Role,Dialogue
고객,보험료 연체돼서 납입하려는데 어떻게 하나요?
상담사,본인 확인을 위해 ars 연결을 시도합니다.
고객,본인확인 비밀번호 네 자리를 눌러주세요.
상담사,네 확인 감사합니다.
고객,두 건의 보험료가 현재 미납 중입니다.
상담사,두 건 모두 납입하십니까?
고객,네 두 건 다 해 주세요.
상담사,본인 자동이체 계좌로 입금하시겠습니까?
고객,"네, 그렇게 해 주세요."
상담사,"네, 공공은행 계좌로 보험료 공공원 즉시 출금하겠습니다."
고객,자동이체 계좌에 잔고 부족으로 이체가 되지 않습니다.
상담사,확인 부탁드립니다.
고객,금액이 얼마인가요?
상담사,두 건의 보험료 000 원입니다.
고객,그럼 다른 은행 공 공 은행에서 즉시 이체해 주세요.
상담사,공공은행은 본인 명의의 계좌가 맞습니까?
고객,네 제 통장 맞아요.
상담사,지금 바로 두 건 000 원 즉시 이체하겠습니다.
고객,이체 완료 됐나요?
상담사,네 두 건 000 원 이체 처리 되셨습니다.
고객,그럼 이제 미납 없는 거죠?
상담사,"네, 정상 처리 되셨습니다."
고객,"네, 감사합니다."
상담사,
