Role,Dialogue
고객,보험을 갱신에 추가 요금이 발생한다는데 설명해 주실 수 있나요?
상담사,같은 보험이라면 갱신될 경우 추가 요금이 발생할 수 있습니다.
고객,그에 관련해서 저희가 약관이나 보험 가입 시 공지를 드리고 있습니다.
상담사,같은 보험 상품에 가입한 내 배우자는 추가 요금이 없던데요.
고객,나만 그렇죠.
상담사,배우자께서 안내받으신 내용을 좀 더 자세히 말씀해 주시겠어요?
고객,배우자의 핸드폰으로 문자가 왔어요.
상담사,수신받으신 문자 내용을 말씀해 주시겠습니까?
고객,갱신으로 특약 보험료가 변동되었지만 매회 납입하실 보험료는 변동이 없습니다.
상담사,배우자분은?
고객,책임 준비금이 있어서 갱신되어도 추가 요금이 발생하지 않습니다.
상담사,책임 준비금이란 게 뭔가요?
고객,보험금 잔고가 책임 준비금입니다.
상담사,왜 나는 잔고가 없죠.
고객,고객님께서 보험금 잔고를 인출한 적이 있으셔서 책임 준비금을 납입하셔야 합니다.
상담사,작년에 인출한 적이 있네요.
고객,보험 갱신 시 부족분에 대해서.
상담사,추가 요금이 발생하게 됩니다.
고객,현재 잔고가 얼마나 남았는지 알 수 있나요?
상담사,추가 요금 금액도 확인하고 싶은데요.
고객,인터넷이나 모바일 폰을 이용하여 당사 홈페이지에 접속하셔서 조회하시면 정확한 정보를 보실 수 있습니다.
상담사,홈페이지에서 조회가 가능하다고요?
고객,네 당사 홈페이지에 접속하시면?
상담사,상세히 확인하실 수 있습니다.
고객,다른 방법은 없나요?
상담사,영업점을 방문하셔서 확인하실 수 있습니다.
고객,
