Role,Dialogue
고객,보험을 담보로 대출을 받을 수 있는 금액과 실제 대출금액이 다를 수 있나요?
상담사,아니요 다를 수 없습니다.
고객,그래요?
상담사,콜센터에 문의하니 다를 수 있다던데요?
고객,보험사 홈페이지에 접속하셔서 조회해 보셨나요?
상담사,"아니요, 안 해봤어요."
고객,홈페이지 보험계약 대출은 전자금융거래 업무이기 때문에.
상담사,상담센터에서 대출 가능했던 금액도 홈페이지에서는 금액이 제한될 수도 있습니다.
고객,제한되는 경우도 있다고요?
상담사,안전 전자금융 거래를 위한 조치이오니 양해를 부탁드립니다.
고객,대출금 규정이 정확히 어떻게 되는데요.
상담사,보험계약자와 보험료 자동이체 예금주가 동일한 계약.
고객,보험료가 최근 2년 간 일 회 이상 자동이체된 계약 보험계약 상태가 정상인 계약 보험계약 대출 가능 금액이 5만 원 이상인 계약 대출 신청 금액 5만 원 이상 3천만 원 1대 한도일 경우입니다.
상담사,"네, 알겠어요?"
고객,다른 문의사항은 없으신가요?
상담사,대출받은 내역을 인터넷으로 조회할 수 있나요?
고객,"네, 확인 가능하십니다."
상담사,조회 경로는 어떻게 되죠?
고객,홈페이지 로그인 후 온라인 고객센터 대출 대출 조회 메뉴에서 조회 가능합니다.
상담사,"네, 알겠어요, 감사합니다."
고객,오늘도 행복한 하루 되세요.
상담사,
