Role,Dialogue
고객,비대면 실명확인 서비스 이용 가능 조건이 있나요?
상담사,"네, 조건이 있으시면 모두 충족하셔야 가능하십니다."
고객,무엇인가요?
상담사,"대한민국 국적에 10010, 9세 이상 개인고객이신가요?"
고객,"네, 맞습니다."
상담사,주민등록증 또는 운전면허증이 구비되어 있으십니까?
고객,"네, 있습니다."
상담사,본인 명의 휴대폰이시거나 휴대폰 본인 확인이 가능하십니까?
고객,"네, 가능합니다."
상담사,"네, 모든 조건에 충족되시면 서비스 이용 가능하십니다."
고객,어떻게 진행하면 되나요?
상담사,타행에서 발급받은 OTP 발생기를 등록하시는 경우이십니까?
고객,"네, 맞습니다."
상담사,우리 원 뱅킹 실행하신 후 전체 메뉴에서 비대면 실명 확인 뱅킹 관 관리 OTP 발생기 등록 후 진행하시면 됩니다.
고객,본인 확인하라고 뜨는데 어떻게 하면 되나요?
상담사,본인 확인 및 실명 확인 휴대폰 본인인증 신분증 촬영 진의 확인 계좌 인증하신 후.
고객,삼번 타행 otp 발생기 정보 입력 및 이체 한도와 출금 계좌 입력하시면 등록 완료되십니다.
상담사,디지털 otp 를 등록할 때도 동일하게 하면 되나요?
고객,앞서 말씀드린 것과 동일하게 진행하시지만 계좌 인증하신 이후에는 앱 등록 코드 발생하셔야 됩니다.
상담사,그 이후에는 어떻게 하나요?
고객,휴대폰으로 앱 등록 코드가 SMS 전송되며 이체 한도와 출금 계좌 입력하시면 디지털 OTP 등록 완료되십니다.
상담사,이후 디지털 OTP 앱 설치 및 실행 휴대폰 본인인증 앱 비밀번호 등록 앱 등록 코드 등록하시면 완료되십니다.
고객,
