Role,Dialogue
고객,비밀번호를 잊어버렸어요.
상담사,확인할 수 있나요?
고객,"네, 고객님 어느 비밀번호를 잊어버리셨나요?"
상담사,통장 비밀번호가 기억이 안 나요?
고객,통장 비밀번호를 잊어버리셨나요?
상담사,때 전자금융으로 이체 거래하셨나요?
고객,아니요.
상담사,어디에서 이용하셨나요?
고객,Htm 기에서 출금하는데 기억이 안 나네요.
상담사,이용이 정지되었나요?
고객,때 오류에서 오류 횟수 초과해서 이용이 안 된다네요.
상담사,가까운 은행에 방문하셔서 비밀번호를 변경하셔야 합니다.
고객,전에 쓰던 비밀번호는 알 수 없나요?
상담사,"네, 확인이 안 돼요?"
고객,"네, 그렇습니다."
상담사,새로운 걸로 바꿔야 하나요?
고객,"네, 변경하셔야 합니다."
상담사,초에 쓰던 걸로 바꿔도 되나요?
고객,"네, 똑같은 걸로 이용하셔도 됩니다."
상담사,은행 가면 비밀번호 확인할 수 있을까요?
고객,오류 횟수를 초과하였으면 은행에서도 확인할 수 없습니다.
상담사,제가 직접 가야 되죠.
고객,네 본인이 직접 내점하셔야 합니다.
상담사,네.
고객,
