Role,Dialogue
고객,사망자분 주식 계좌 같은 것도 확인 가능해요.
상담사,가능하십니다.
고객,사망하신 분과 관계는 어떻게 되십니까?
상담사,어머니신데요.
고객,제가 둘째 아들이거든요.
상담사,어머니 성함과 주민등록번호를 불러 주시겠습니까?
고객,저희 어머니 성함이 공공공이시고 주민등록번호가 공공공공공공에 공공공공공공으로 마지막.
상담사,325 번 들어가요.
고객,알겠습니다.
상담사,공공공님 확인되셨고요.
고객,"고객님, 성함은 어떻게 되시나요?"
상담사,"제 이름은 공공공인데, 둘째 아들로 되어 있어요."
고객,필요하신 서류는 주식 계좌입니까?
상담사,확인 가능한 다른 계좌들도 있나요?
고객,"일반 계좌나 보험 같은 거요, 가능하십니다."
상담사,예금 대출 보증 증권 계좌.
고객,보험계약 신용카드 및 가계당좌 거리 유무 등이 가능하시고요.
상담사,더 필요한 건 없으십니까?
고객,혹시 금융회사로는 조회가 안 되나요?
상담사,금융회사로 안내해 드리겠습니다.
고객,"은행 증권 생명보험, 손해보험 종합금융회사, 상호신용금고, 여신 전문 금융회사 등이 조회가 가능하십니다."
상담사,시간은 어느 정도 걸리나요?
고객,짧게는 일주일 길게는 이 주일까지 소요됩니다.
상담사,제가 준비해 가야 될 서류는 어떤 건가요?
고객,호적등본에 사망사실이 게재되어 있으시면 호적등본은 필요 없으시고 어머니께서 실종이나 심신상실에 해당이 되십니까?
상담사,"아니요, 그냥 사고사시고요."
고객,호적등본은 확인해 볼게요.
상담사,사고사이시면 비상속인의 제작등본 및.
고객,신청인의 신분증만 가지고 오셔도 되시고요.
상담사,만약 호적등본에 사망사실이 개재되어 있지 않을 경우에는 호적등본 및 사망진단서 원본을 가지고 오셔야 됩니다.
고객,친절한 설명 좋은 하루 되시고 행복하세요.
상담사,
