Role,Dialogue
고객,상대방 확인 안 하고 이체해버려서 잘못 이체해졌어요.
상담사,어쩌면 좋지요?
고객,고객님 이성을 되찾으시고 은행에서는 이러한 상황에 대처하기 위하여 최선을 다하여 도와드리도록 하겠습니다.
상담사,"고마워요, 그럼 무엇을 하면 송금한 돈을 돌려받을 수 있겠습니까?"
고객,도움을 드리기 앞서서 고객님 계좌의 이력을 확인해야 합니다.
상담사,고객님의 계좌번호를 알려주실 수 있으신가요?
고객,"계좌번호는 공공공에 0000, 다시 0000으로 알고 있어요."
상담사,계좌명은 어떻게 되시나요?
고객,계좌를 명확하게 알기 위해서 필요합니다.
상담사,송금을 실행한 계좌명은 000입니다.
고객,다음으로 비밀번호를 입력해야 하는 단계입니다.
상담사,제가 입력하는 것이 아닌 응답 프로그램을 이용하여 입력하셔야 해요.
고객,제가 눌러야 하는 것인가요?
상담사,이제 연결해 드리겠습니다.
고객,비밀번호를 눌렀는데 잘 눌러졌는지 모르겠네요.
상담사,정상적으로 처리됐고요.
고객,다음 단계로 넘어갈 수 있겠습니다.
상담사,다음입니다.
고객,잘못된 거래의 시기가 어떻게 되시나요?
상담사,십 분 전쯤이었던 것 같아요.
고객,네.
상담사,"조회가 되었는데요, 거래가 두 건이 있어서 확인이 필요합니다."
고객,어떤 것이 더 필요합니까?
상담사,먼저 상대방 은행 정보가 필요합니다.
고객,공공은행으로 보내는 것 맞아요?
상담사,기억났다.
고객,다음 질문입니다.
상담사,고객님께서 잘못 송금하신 계좌의 번호가 어떻게 되십니까?
고객,준비하고 있었습니다.
상담사,00000 번입니다.
고객,빠르게 알려주신 점 매우 감사합니다.
상담사,현재 상황을 해결하기 위하여 상대방 은행과 함께 해결 방안을 찾아보도록 하겠습니다.
고객,그리고 연락드리도록 하겠습니다.
상담사,최선을 다하는 은행이 되도록 하겠습니다.
고객,공 공 은행 상담원 공공공이었습니다.
상담사,
