Role,Dialogue
고객,수고하십니다.
상담사,보험 대출 해지 건에 대해 여쭤볼 게 있어서요.
고객,"네, 고객님 보험 대출 원금을 상환하려는 건가요?"
상담사,"아뇨, 보험을 해지할까 생각 중입니다."
고객,보험 해지 말씀이시군요?
상담사,"네, 그런데 현재 보험 대출을 받은 상황입니다."
고객,대출받은 상태에서는 해지할 수 없나요?
상담사,보험 해지는 가능하십니다.
고객,무엇 때문에 보험을 해지하시려고 하는 건가요?
상담사,요즘 제가 너무 힘들어서 보험 연체가 몇 번은 됐어요.
고객,그래서 보험을 그냥 해지하는 게 나은가 싶어서요.
상담사,해지하면 대출금은 어떻게 되나요?
고객,보험은 약관 대출이라 보험을 유지하면서 가져가는 조건이기 때문에 해지 후 바로 완납 처리를 해야 합니다.
상담사,그럼 해지하면서 대출 원금은 갚아야 하는 거예요?
고객,해지하신 보험 환급금에서 대출금 뺀 나머지 금액을 받게 됩니다.
상담사,아 해지 환급금에서 대출금 제외하고 나온다는 거죠?
고객,"네, 고객님 맞습니다."
상담사,그럼 어떤 방식으로 입금이 되는 거죠?
고객,입금은 원하시는 계좌번호를 입금해 드립니다.
상담사,우선 잘 알겠습니다.
고객,
