Role,Dialogue
고객,수표를 분실한 것 같아요.
상담사,수표 분실 시 농협 고객센터로 신고하시기 바랍니다.
고객,분실 수표에 대해 보호받을 수 있나요?
상담사,"네, 분실한 수표금 다시 받으실 수 있습니다."
고객,"네, 감사합니다."
상담사,처리 절차 좀 알려주세요.
고객,농협 영업점에서 서면 신고하시거나 전화로 신고 가능합니다.
상담사,어떤 걸로 안내 도와드릴까요?
고객,전화 신고 알려주세요 농협 고객센터로 전화하셔서 신고하신 수익 영업일까지 서면으로 사고 신고서를 제출해 주셔야 합니다.
상담사,수표 발행점으로 꼭 가야 하나요?
고객,바램점 내방이 어려우실 경우 가까운 영업점에서도 접수가 가능합니다.
상담사,사고 신고서 제출 후엔 절차가 어떻게 되나요?
고객,사고 신고서 제출 후엔 오 영업일 이내에 법적 절차가 진행 중임을 확인할 수 있는 서류를 제출해 주셔야 합니다.
상담사,5일 이내에 꼭 제출을 해야 하나요?
고객,네 서류가 제출되지 않으면 지금 제시 기간 내에 지급 제시한 최종 소지인에게 지급될 수 있습니다.
상담사,"네, 알겠습니다."
고객,그럼 이거 절차 따르려면 시간이 꽤 걸리겠네요?
상담사,약 삼 개월 정도 후에 채권 판결을 받으실 수 있기 때문에 최소 삼 개월은 기다리셔야 합니다.
고객,"휴 네, 알겠습니다."
상담사,네 문의 주셔서 감사합니다.
고객,
