Role,Dialogue
고객,수표를 분실했어요.
상담사,분실신고할 수 있나요?
고객,분실신고 접수를 해드릴까요?
상담사,아니요.
고객,그건 은행에 가서 직접 신고했습니다.
상담사,"네, 무엇을 도와드릴까요?"
고객,제가 정신이 없어서 실명 들었던 것을 잊어서요.
상담사,"아, 그러셨군요."
고객,절차 좀 다시 여쭤볼게요.
상담사,제가 은행에서 수표 분실 신고하고.
고객,수수료와 보증금을 내고 미지급 증명서를 받았어요.
상담사,"네, 그다음 경찰서 가서 뭐 해야 하죠?"
고객,경찰서 민원실이 있는 생활지도에 가셔서 수표 분실 신고를 하셔야 합니다.
상담사,메모하면서 들을게요.
고객,그다음은요.
상담사,경찰서에서 분실신고 확인증을 발급해 주는데요.
고객,미지급 증명서와 분실 신고 확인증을 가지고 법원에 가셔서 공시 최고를 신청합니다.
상담사,공시 최고 네 법원에서 공시 최고 신청 접수 증명원을 주실 거예요.
고객,"네, 그걸 다시 은행에 제출해 주셔야 합니다."
상담사,"아, 5일 이내에 법원 가서 뭔 서류를 받아오라고 했는데 그게 그거군요?"
고객,"네, 맞습니다."
상담사,그다음엔요 삼 개월 후에 법원에 출석하셔서 제권 판결문을 받게 되실 거예요.
고객,맞아요.
상담사,그것도 가져오라고 했어요.
고객,네.
상담사,채권 판결문을 은행에 가져가시면 분실한 수표 금액을 보증금과 함께 다시 찾으실 수 있습니다.
고객,친절히 설명해져서 정말 고마워요.
상담사,잘 처리되시길 빌겠습니다.
고객,
