Role,Dialogue
고객,신용대출 금리 인하를 받을 수 있나요?
상담사,인하 조건에 해당되셔야 합니다.
고객,개인고객이십니까?
상담사,네 개인 신용대출을 받고 있습니다.
고객,어떤 조건이 있어야 하나요?
상담사,대출 시점과 비교해서 금리 인하와 신청 시점에 비교해서 개인 신용도가 상승한 경우가 조건입니다.
고객,인화 신청할 수 있을 때가 따로 있나요?
상담사,있습니다.
고객,언제인가요?
상담사,대출받으신 후 육 개월 이후에 신청이 가능합니다.
고객,금리인하 신청 횟수도 따로 있나요?
상담사,"네, 횟수도 정해져 있습니다."
고객,알려주세요.
상담사,이회 신청 가능하십니다.
고객,신청하는 방법은 뭔가요?
상담사,신분증 지참 후 지점 방문하면 신청 가능하십니다.
고객,홈페이지에서도 신청 가능한가요?
상담사,홈페이지에 사이버 창구 금리 인하 신청하시면 가능하십니다.
고객,알겠습니다.
상담사,홈페이지 이용해 보고 안되면 지점 방문하겠습니다.
고객,감사합니다.
상담사,더 문의사항 있으시면 전화주세요.
고객,
