Role,Dialogue
고객,신용대출 저도 받을 수 있는지 확인 좀 하려고요.
상담사,직장인이십니까?
고객,직장인이에요.
상담사,직장인이시라면 직장인 신용대출이 있습니다.
고객,직장인 신용대출은 한도가 얼마까지 되나요?
상담사,고객님들 신용등급이나 월 소득에 따라 달라집니다.
고객,제 신용등급은 삼 등급인데 저는 얼마 정도 받아요?
상담사,"신용등급뿐만 아니라 월 소득이나 신용카드, 연체 유무 등에도 영향이 있습니다."
고객,"월 소득요 보너스 받고 이러면 매달 다른데요, 고객님 연봉은 어느 정도 되실까요?"
상담사,연봉은 사천육백만 원이고요.
고객,인센티브는 포함 안 된 거예요.
상담사,자세한 사항은 대출 심사를 거쳐야 알 수 있어서요.
고객,지금은 연봉 기준으로 상담해 드리겠습니다.
상담사,그러면 얼마나 돼요.
고객,타 금융권에 대출받으신 적 있으십니까?
상담사,대출은 없고요.
고객,지금 자동차 할부 들어가는 게 있어요.
상담사,남은 할부금은 얼마인지 알 수 있을까요?
고객,3천만 원 좀 넘게 남았어요.
상담사,직장인 신용대출이 고객님 연봉의 80%에서 90%까지 대출이 되거든요.
고객,그럼 전 4천만 원 넘게 되겠네요.
상담사,그런데 고객님의 경우 자동차 할부금이 아직 남아있어서요.
고객,영업점 방문하셔서 고객님께 맞는 상담 받아 보시기 바랍니다.
상담사,자동차 할부금이 걸림돌이네요.
고객,알겠습니다.
상담사,감사합니다.
고객,
