Role,Dialogue
고객,신용불량자는 통장 개설 되나요?
상담사,잔고 압류 안 당하고요.
고객,신용불량자도 새로 통장을 개설하는 데는 문제없습니다.
상담사,그게 아니라 통장 개설을 하면 잔고를 압류 당할 수도 있잖아요.
고객,압류 안 당하게 하는 그런 통장도 있다던데 만들 수 있어요.
상담사,고객님께서 말씀하신 압류 방지 통장은?
고객,일반인은 만드실 수 없습니다.
상담사,조건에 있어요.
고객,연금 수급자 또는 국가 지원금처럼 국가 사업 관련해서 수령하시는 분들만 가능합니다.
상담사,일반 월급자들은 안 되겠네요.
고객,제가 말한 그 조건에 충족이 되시면 만드실 수 있는데 신용불량자라 하시더라도 잔액 전부를 압류하는 건 아닙니다.
상담사,통장 잔고 전부를 압류가 안 되나요?
고객,본인께서 직접 압류 범위를 설정하시면 됩니다.
상담사,취직한 회사에서 통장을 새로 만들어 오라는데 월급이 들어오자마자 다 빼가면 안 되니까 그런 거거든요.
고객,신용불량자라 하시더라도 은행마다 정보가 다 공유되지는 않습니다.
상담사,해당 은행에 통장 압류 신청이 되어 있으신지?
고객,동장 개설 시에 잘 확인해 보시고 동장 개설하시기 바랍니다.
상담사,만약 압류 처리가 안 되어 있으면 월급 들어오자마자 돈이 안 빠지겠네요.
고객,그럴 가능성도 있습니다.
상담사,압류 처리가 되어 있는 은행이시라면 설정 범위를 재지정하셔야 될 것 같아요.
고객,설정 범위는 제 마음대로 해도 돼요?
상담사,한 달에 만 원 이렇게요.
고객,자세한 사항을 여기서는 알기 힘들고요.
상담사,영업점 직접 방문하셔서 상담을 받아 보셔야 할 것 같습니다.
고객,통장 개설하면서 물어보면 되겠죠?
상담사,"네, 그러시면 됩니다."
고객,
