Role,Dialogue
고객,신용이 낮아도 중도금 대출되나요?
상담사,신용등급이 얼마나 되실까요?
고객,제가 어제 확인해 보니까 신용등급이 팔등급 되더라고요.
상담사,"고객님, 신용등급이 팔등급이시라면 중도금 대출이 힘드실 수도 있습니다."
고객,저도 그래서 걱정이거든요.
상담사,고객님께서 분양받으신 게 아파트인가요?
고객,네.
상담사,아파트 청약이 당첨돼서 계약금은 이미 냈는데 중도금이 걱정이 되더라고요.
고객,그러면 걱정이 많으시겠어요?
상담사,걱정이 좀 되네요.
고객,실례지만 기혼이십니까?
상담사,네 기혼인데요.
고객,왜요?
상담사,기혼이시면 사모님 신용으로도 신청을 해보실 수 있으시거든요.
고객,그래요.
상담사,어떻게 신청하는데요.
고객,일단 청약이 부인분 명의로 된 게 아니라서 안 될 가능성도 있는데요.
상담사,중도금 대출 때 부인분 명의로 대출이 되는지 확인해 보시고요.
고객,안되시면 나중에 부인분께 증여를 하시는 것도 괜찮을 듯 싶습니다.
상담사,제 와이프한테 증여를 한다면 언제부터 될까요?
고객,증여는 육 개월 후에 가능하시고요.
상담사,그때 중도금도 같이 실행하시는 방법도 있긴 합니다.
고객,그래도 되겠네요.
상담사,그럴 거면 아무래도 부인분의 신용도 좋아야겠습니다.
고객,다시 한번 알아볼게요.
상담사,"그래도 희망은 보이네요, 다행입니다."
고객,좋은 결과 있으시길 바랍니다.
상담사,
