Role,Dialogue
고객,신용카드 때문에 전화드렸는데요.
상담사,저번에 신용카드를 만들었던 걸 이번에 좀 사용하려고 하는데 이게 안 되는 것 같았어요.
고객,신용카드 발급하신지 오래되신 건가요?
상담사,412 년 다 되기는 것 같은데 발급 후에 사용하신 내역이 없으신가요?
고객,"네, 사실 다른 카드가 이미 있었어요."
상담사,카드는 있으신가요?
고객,네 카드는 지금 손에 들고 있습니다.
상담사,카드 발급 후 1년 이상 사용하지 않으시면 자동으로 휴면 처리됩니다.
고객,그럼 지금은 못 사용하는 건가요?
상담사,"네, 휴면 해지 신청하셔야 다시 카드 이용이 가능하십니다."
고객,그럼 어떻게 하면 되나요?
상담사,가까운 영업점을 방문하시거나 콜센터를 이용하셔야 합니다.
고객,신청하면 바로 이용 가능한가요?
상담사,"네, 휴면 해지 후 바로 이용 가능하십니다."
고객,알겠습니다.
상담사,그럼 앞으로 계속 이용 가능한 거지요.
고객,카드 앞면에 표기된 유효기간까지 이용 가능하십니다.
상담사,"아, 그렇군요."
고객,"네, 다시 일년간 사용이 없으시면 휴면처리 되시니 유의하시고요."
상담사,"네, 알겠습니다."
고객,
