Role,Dialogue
고객,신용카드 중에 최고 프리미엄 카드가 뭔가요?
상담사,"네, 블랙 시그니처 카드입니다."
고객,어떤 서비스가 있는 건가요?
상담사,일단 실적과 상관없이 쇼핑 바우처를 제공해 드립니다.
고객,바우처 금액이 얼마나 되나요?
상담사,17만 원입니다.
고객,오 매년 제공해 주시는 건가요?
상담사,발급한 해에는 실적이 없이 제공해 드리고.
고객,갱신부터는 전액 사용 실적 600만 원 이상의 경우 발급해 드립니다.
상담사,연간 누적 사용금액 600만 원 이상이면 주신다는 말씀이지요?
고객,"네, 1달 평균 50만 원 금액 수준이라서 큰 부담 없이 사용 가능하십니다."
상담사,그렇네요.
고객,가족 카드도 발급이 되나요?
상담사,"네, 발급 가능합니다."
고객,그럼 배우자 카드를 신청하면 배우자도 바우처가 제공되나요?
상담사,가족카드의 경우는 바우처는 본인에게만 제공해 드립니다.
고객,그렇군요.
상담사,그럼 장점이 뭔가요?
고객,바우처를 제외한 그 웹 프리미엄 서비스를 배우자의 경우 연회비 2만 원에 사용 가능합니다.
상담사,아 본인은 연회비가 얼마인가요?
고객,20만 원입니다.
상담사,아 사지는 않군요?
고객,"네, 차별화된 서비스를 제공해 드리는 만큼."
상담사,연회비가 조금 더 비싼 카드입니다.
고객,
