Role,Dialogue
고객,신용카드 해지하고 싶어서 전화 드렸습니다.
상담사,신용카드 사용해지 말씀이신가요?
고객,네 이제 더 이상 사용하지 않으려고요.
상담사,유효기간은 아직 남으신 건가요?
고객,413 달 남았습니다.
상담사,유효기간까지는 그냥 두시고 필요하실 때 사용 가능하신데 해지 신청하시려는 건가요?
고객,유효기간이 얼마 남지 않으신 상태라.
상담사,오히려 더 번거롭지 않을까 해서 말씀드립니다.
고객,아니에요 해지할게요.
상담사,안 쓰는데 가지고 있을 필요가 없을 것 같습니다.
고객,괜히 이것 가지고 있다가 혹시라도 기한 넘기면 연회비 나가는 것 아닌가요?
상담사,1년 이상 결제 내역이 없으신 경우에는.
고객,휴면 처리와 함께 연회비 신청은 되지 않습니다.
상담사,"아, 그렇군요."
고객,그럼 일단 가지고 있어 볼까요?
상담사,"네, 해지 후에 혹시라도 다시 사용하시려면 신규 발급이 필요하시니 일단은 두시고 다시 생각해 보시는 것이 좋을 것 같습니다."
고객,그렇군요.
상담사,혹시 신규 발급하면 기간이 오래 걸리나요?
고객,심사 후에 카드 배송에는.
상담사,보통 업무일로 5일 이상 소요됩니다.
고객,그렇군요.
상담사,해지는 영업점에 가야 되나요?
고객,영업점 방문이나 콜센터 또는 인터넷 뱅킹으로도 가능합니다.
상담사,"네, 일단은 알겠습니다."
고객,더 궁금하신 점은 없으신가요?
상담사,네 없어요.
고객,감사합니다.
상담사,
