Role,Dialogue
고객,신차 대출 좀 알아보려고 하는데요.
상담사,안녕하십니까?
고객,"고객님, 신차 대출을 하시려면 대리점에서 신차 계약을 하셔야 되는데 계약은 하셨습니까?"
상담사,"네, 제가 차 구매할 때 예산을 좀 넘겨버려서요."
고객,요즘 자동차 대출이 금리도 싸고 괜찮다고 하시더라고요.
상담사,맞습니다.
고객,자동차 대출이 생각보다 간편하고요.
상담사,금리도 낮아서 부담이 덜한 건 사실입니다.
고객,그러게요 금리는 어느 정도인가요?
상담사,금리는 은행마다 다 다른데요.
고객,아무래도 주거래은행이 대출금리가 더 저렴하고요.
상담사,주거래은행이 아니더라도 거래실적에 의한 우대금리도 있어서 삼 퍼센트에서 일 퍼센트대까지도 가능하십니다.
고객,여기가 제 주거래 은행이고요.
상담사,급여 통장도 여기 은행으로 다 해졌거든요.
고객,그럼 더 싸겠죠.
상담사,그러시면 고객님께선 우대금리 최고 1.
고객,5% 대에 대출이 가능하십니다.
상담사,괜찮네요.
고객,직장인 자동차 대출로 이용하실 건가요?
상담사,네 회사 다니고 있어서 직장인으로 할 건데요.
고객,그 서울보증보험 적적심사 받아두라고 해서요.
상담사,그것도 받아났어요.
고객,잘하셨습니다.
상담사,현재 다니고 계신 직장은 육 개월 이상 근무하셨습니까?
고객,1년 넘었어요.
상담사,그러시면 조건이 충분히 되시고요.
고객,승용차로 구매하셨나요?
상담사,승용차로 했어요.
고객,대출은 3천만 원 정도 하려고 생각 중이거든요.
상담사,대출금은 연 소득 범위 내로 가능하신데 신차는 최대 6천만 원까지 가능하시고요.
고객,서울보증보험에 산출된 한도 내에서 심사 후 결정이 됩니다.
상담사,그럼 뭐 전 될 가능성이 높겠네요?
고객,저도 좋은 결과 있으시길 바랍니다.
상담사,감사합니다.
고객,영업점 가서 신청해야겠네요.
상담사,"네, 좋은 하루 되세요."
고객,상담원 공공공이었습니다.
상담사,
