Role,Dialogue
고객,실시간 즉시 결제라는 서비스가 궁금합니다.
상담사,"네, 고객님 도움드리겠습니다."
고객,어떤 서비스인가요?
상담사,이용금액 결제 서비스는 현재까지 이용한 이용금액의 전부 또는 일부를 즉시 출금하여 결제하는 서비스입니다.
고객,연체된 금액도 바로 결제되는 거지요?
상담사,연체금액 또는 결제일 당일에 당월 청구금액의 전액 또는 일부금액을 결제합니다.
고객,그럼 결제일이 되기 전 선결제는 어떤가요?
상담사,결제일 이전에 당월 청구금액 전액을 미리 결제하는 서비스입니다.
고객,만약 결제 대금에 연체 대금이 포함되어 있으면요.
상담사,연체 금액이 있을 경우 홈페이지에.
고객,연체금액 결제일 당일 결제 메뉴에서 연체금액을 먼저 결제하신 후 이용하실 수 있습니다.
상담사,연체금액을 면적 결제해야 하나요?
고객,"네, 연체금액부터 결제하셔야 합니다."
상담사,혹시 선결제할 때 이용권별로 선결제도 가능한가요?
고객,"네, 가능하십니다."
상담사,일시불 결제만 가능한가요?
고객,아닙니다.
상담사,결제일 이전에 일시불 할부 단기 카드 대출 현금서비스 일부 결제금액 리볼빙 장기 카드 대출 카드론 이용건별 전액 또는 일부 금액을 결제합니다.
고객,"아, 그렇구나 리볼빙 금액도 선결제가 되는군요?"
상담사,"네, 그렇습니다."
고객,감사합니다.
상담사,
