Role,Dialogue
고객,아무래도 신용카드를 분실한 것 같아서 전화드립니다.
상담사,"네, 고객님 신용카드를 찾으실 수 없으신 상황인가요?"
고객,"네, 그런 것 같아요."
상담사,"아, 그럼 분실신고 접수 도와드릴까요?"
고객,분실신고 말고 정지신고도 할 수 있나요?
상담사,"네, 가능하십니다."
고객,두 개의 차이가 뭔지 정확히 알 수 있을까요?
상담사,"정지 신고는 신용카드 사용을 일시적으로 정지하는 것이고, 분실 신고의 경우는 신용카드를 영구정지하게 됩니다."
고객,그렇군요.
상담사,그럼 일단 정지 신고를 해두고 카드를 찾아볼까요?
고객,만약 분실 여부가 확실하지 않으시다면 정지 신청 후 찾아보시는 것이 좋겠습니다.
상담사,"네, 알겠습니다."
고객,불신 신고와.
상담사,한 경우에는 카드를 찾았을 때 해지가 불가한 건가요?
고객,네 분실신고 접수 후 카드 재사용 위해서는 영업점에 본인이 직접 방문하셔야 합니다.
상담사,알겠습니다.
고객,그럼 정지 신고를 도와드릴까요?
상담사,"네, 그리고 마지막 사용처를 알 수 있을까요?"
고객,네 가드가 000 번 맞으신가요?
상담사,"네, 맞습니다."
고객,혹시 마지막 사용 금액이 얼마 정도 되시는지 기억 나시는가요?
상담사,마트에서 40003 1000 원 정도 쓴 것이 마지막 같은데요?
고객,"네, 맞습니다."
상담사,공 공 마트에서 43000 200 원 사용하신 내역이 마지막으로 확인됩니다.
고객,
