Role,Dialogue
고객,아이가 돈을 만지다가 반으로 찢어져서요.
상담사,아 훼손된 돈을 보유 중이신가요?
고객,맞습니다.
상담사,외손 정도를 알 수 있을까요?
고객,삼 등분이 되었기는 한데 모두 완전한 조각으로 가지고 있습니다.
상담사,"아, 그러시군요."
고객,은행으로 가져오시면 점검 후 신권으로 교체하여 드립니다.
상담사,"아, 그렇구나 테이프로 붙여서 가져갈까요?"
고객,아니요 그냥 가지고 오셔도 무방합니다.
상담사,때 완전한 지폐 조각만 다 가지고 가면 되는 거죠?
고객,"네, 그렇습니다."
상담사,"아, 지금 보니 1개 조각을 찾을 수 없는데요."
고객,세 조각 중 두 개만 있으신 건가요?
상담사,때에 이런 경우도 보상이 되나요?
고객,화폐의 상태를 보아야 하나?
상담사,이 경우 한국은행에 가셔야 합니다.
고객,"아, 그렇군요."
상담사,한 조각을 못 찾으면 어떻게 될까요?
고객,남겨진 조각의 범위에 따라서 보상 수준이 다릅니다.
상담사,"아, 그렇군요."
고객,2/3 이상의 모습이 남아있는데요.
상담사,말씀대로라면 전액 보상되실 가능성이 높습니다.
고객,"아, 그렇군요."
상담사,만약에 반절 수준밖에 안 된다면요?
고객,반액 인정되실 수 있습니다.
상담사,
