Role,Dialogue
고객,아파트 담보대출 신청이 가능할까요?
상담사,명의가 어느 분 앞으로 되어 있나요?
고객,"네, 제 명의로 되어 있어요."
상담사,아파트 담보로 대출을 받은 적이 있습니까?
고객,네 있어요.
상담사,추가 대출을 원하시나요?
고객,"네, 추가로 더 받고 싶어요."
상담사,기존에 얼마 정도 대출을 받았나요?
고객,5천만 원 정도 받았어요.
상담사,지금 현재 거주하는 아파트 주소가 어떻게 되나요?
고객,북구 공 공 아파트입니다.
상담사,대출 가능 여부는 서류 심사를 통해 이루어지니 서류를 준비해서 지점 방문을 해 주시면 됩니다.
고객,서류가 어떤 게 필요하나요?
상담사,"신분증, 가족관계증명서, 주민등록초본 소득서류, 원천징수 영수증 재직서류."
고객,인감증명서 인감도장 매매계약서 등이 필요합니다.
상담사,서류가 좀 많으네요.
고객,하나라도 빠지면 안 되나요?
상담사,"네, 대출 시에는 모든 서류를 구비하셔서 방문하셔야 됩니다."
고객,"네, 그리고 대출금리는 어떻게 되나요?"
상담사,대출금리는 개인 신용등급에 따라 틀립니다.
고객,그럼 기존 대출이랑 금리가 틀릴까요?
상담사,네 추가 대출을 받으실 경우 기존의 신용 상태에 따라 금리는 다르게 적용됩니다.
고객,
