Role,Dialogue
고객,아파트 중도금 대출을 알아보려고 하는데요.
상담사,"네, 중도금 대출에 대해서 알려 드리겠습니다."
고객,어떤 점이 궁금하십니까?
상담사,제가 아파트 청약이 당첨되었어요.
고객,축하합니다.
상담사,고객님 감사합니다.
고객,그래서 계약금 십 퍼센트를 이미 지불을 했는데요.
상담사,제가 신용등급이 많이 낮아서요.
고객,신용등급이 얼마나 낮으십니까?
상담사,팔 등급입니다.
고객,중도금 대출을 하실 때 신용등급이 팔 등급이시라면 아무래도 원활한 대출을 기대하기는 조금 무리가 있을 듯합니다.
상담사,저도 그렇게 생각해서 전화를 드렸어요.
고객,중도금 대출 시도를 해보시고요.
상담사,안 되시면 전매제한 풀리고 매도를 진행하시는 방법은 어떠실까요?
고객,그게 저희도 집이 없어서 이번에 집을 좀 마련하자고 하는 거거든요.
상담사,집을 담보로 하셔도 신용등급이 낮으셔서 조금 힘들 것 같습니다.
고객,혹시 저희 와이프 신용으로 대출이 될까요?
상담사,부임분께서는 신용이 어느 정도 되십니까?
고객,신용이 사 등급인데 직장도 다니고 있어서 괜찮지 않을까 싶긴 합니다만.
상담사,부인분께서 청약을 받으셨다면 당연히 부인분 명의로 중도금 대출을 하시면 가능할 것 같긴 하지만 현재 청약 받으신 분이 선생님이셔서 그러한 부분은 저희도 재차 확인을 해봐야 합니다.
고객,될 수도 있고 안 될 수도 있다는 말이죠.
상담사,그렇습니다.
고객,아니시면 육개월 후에 부인분께 증여를 하시고 실행하시는 건 어떠실까요?
상담사,그렇게 해도 되는군요.
고객,감사합니다.
상담사,더 자세한 사항은 영업점 방문하셔서 확인 부탁드리겠습니다.
고객,
