Role,Dialogue
고객,안녕하세요 공공보험 콜센터이지요.
상담사,네 공공보험 콜센터입니다.
고객,무엇을 도와드릴까요?
상담사,날씨가 많이 춥네요.
고객,"네, 고객님도 건강에 유의하시기 바랍니다."
상담사,자동차 사고 보상에 궁금한 내용이 있어서요.
고객,"네, 성심껏 도와드리겠습니다."
상담사,무보험 자동차에 의해 피해를 당했습니다.
고객,보상받을 수 있나요?
상담사,많이 놀라셨겠습니다.
고객,보험에 가입되지 않은 차량 무보험차에 의해 피해를 당한 경우에 가해자로부터 손해 배상을 받을 수 있습니다.
상담사,"네, 그렇지 않은 경우에는요."
고객,만일 가해자가 변제 의사 능력이 없는 경우에는 고객님이 가입하신 보험에서.
상담사,보상을 먼저 받으실 수 있습니다.
고객,다행이네요.
상담사,어느 보험에서 보상이 될까요?
고객,"자동차 보험에 무보험, 자동차 상해 담보 피보험자가 죽거나 다친 경우나 자기 차량 손해와 차량 단독 사고 보상 특약입니다."
상담사,천액 다 보상이 등하여 가입된 보행 보험 금액과 자기 차량 가액 한도 내에서 보상을.
고객,먼저 받으실 수 있습니다.
상담사,카의 차량은요?
고객,이런 경우 공공화재에서 지급한 보험금에 대하여 가해자에게 구상 청구권을 구상권을 행사합니다.
상담사,근데 잘 알겠습니다.
고객,
