Role,Dialogue
고객,안녕하세요 공공보험이지요?
상담사,"네, 고객님 공공보험 콜센터입니다."
고객,"네, 반갑습니다."
상담사,무엇을 도와드릴까요?
고객,000 사고 궁금한 내용이 있어서요.
상담사,"네, 심심껏 도와드리겠습니다."
고객,가입한지 2달 만에 암 진단을 받았습니다.
상담사,암 진단금 보상이 되나요?
고객,보상되지 않습니다.
상담사,왜요?
고객,암 진단금의 보장 개시일은 최초 계약 일자 또는 부활 일자로부터 90일이 지난날의 다음날이기 때문에 91 이전 발생 건에 대해서는 진단금이 보상되지 않습니다.
상담사,가입이 되었다고 다 보상이 되는 건 아닌가요?
고객,약관상 그렇습니다.
상담사,다른 거는요 단.
고객,91 면책 기간이 적용되지 않는 경우를 알려드립니다.
상담사,"기타 피부암, 갑상선암 대장점막내암 제자리암 경계성 종양의 보장 개시일은 개악일입니다."
고객,보험 나이 15세 미만 자의 보장 개시일은 계약일임입니다.
상담사,태아 가입의 경우 보장 개시일은?
고객,출생일 임 입니다.
상담사,
