Role,Dialogue
고객,안녕하세요 공공보험이지요?
상담사,"네, 고객님."
고객,공공보험 상담원 000입니다.
상담사,"네, 반갑습니다."
고객,무엇을 도와드릴까요?
상담사,보험 보상 관련 궁금한 내용이 있어서요.
고객,네 문의하시면 됩니다.
상담사,무보험차에 의한 차량 손해 특약에 가입한 경우 자차 기준으로 보상되나요?
고객,무보험차 차량 손해 지원 특별 약관은 대물 배상 기준으로 피보험 자동차의 손해를 처리해 드립니다.
상담사,어느 것을 보상받을 수 있나요?
고객,차량 수리비 및 간접 손해 렌트 교통비 등을 보상받으실 수 있습니다.
상담사,"네, 알겠습니다."
고객,다른 것도 가능한가요?
상담사,문의 주시면 성심껏 도와드리겠습니다.
고객,차량 값보다 수리비가 더 나왔을 경우 보상이 되나요?
상담사,다시 말씀해 주실래요?
고객,운전자 보험에서 차량 값보다 수리비가 더 나오긴 했는데 그래도 폐차는 안 하고 수리해서 사용하려고 합니다.
상담사,차량 손에 위로금 청구가 가능한가요?
고객,"네, 실제 폐차 유무와 관계없이."
상담사,전손임으로 보상이 가능합니다.
고객,그래요.
상담사,단 차량 가액보다 수리비가 더 많이 나와야 합니다.
고객,"네, 알겠습니다."
상담사,
