Role,Dialogue
고객,얘기를 들어보니 실적이 없어도 할인이 되는 카드가 있다던데요?
상담사,"네, 고객님 새로 나온 넘버원 카드는 실적이 없어도 언제나 할인받는 것이 가능합니다."
고객,아 전월 사용 실적이 없어도 언제나 할인되는 건가요?
상담사,"네, 맞습니다."
고객,할인은 어디서 받을 수 있나요?
상담사,국내 가맹점에서 어디서나 할인됩니다.
고객,연간 회수 제한이 있나요?
상담사,할인 횟수 제한 없이 이용 가능하신 카드입니다.
고객,사용 금액의 0.
상담사,7% 할인됩니다.
고객,와 좋으네요.
상담사,혹시 추가 할인되는 것도 있나요?
고객,연말까지 음식점과 커피전문점 사용시 추가 할인됩니다.
상담사,추가 할인은 얼마나 되는 건데요.
고객,추가로 0.
상담사,5% 할인 혜택을 드리고 있습니다.
고객,그럼 0.
상담사,7% 할인해.
고객,0.
상담사,5% 할인을 더해서 1.
고객,2% 할인되는 건가요?
상담사,"네, 맞습니다."
고객,연회비는 얼마인가요?
상담사,연회비는 연간 3만 원입니다.
고객,연회비는 다소 비싼 편이군요?
상담사,"네, 하지만 혜택이 많은 카드라서 최근에 이용하시는 분들이 많이 증가하는 추세입니다."
고객,
