Role,Dialogue
고객,어떻게 하죠?
상담사,계좌번호 끝자리를 잘못 입력하고 돈을 보냈어요.
고객,어떻게 하죠?
상담사,일단 이성을 찾으셔야 합니다.
고객,고객님 은행에서는 이러한 상황에 대처하기 위하여 최선을 다하여 도와드리도록 할게요.
상담사,"네, 제 행복을 다시 찾기 위해서라도 이체한 돈을 꼭 돌려받고 싶은데 뭘 하면 됩니까?"
고객,앞서서 계좌의 이력 사실을 확인해야 합니다.
상담사,고객님의 계좌번호가 어떻게 되시나요?
고객,보냈던 저의 계좌번호는 공 공 다시 000 다시 000으로 알고 있습니다.
상담사,다음 계좌의 명칭은 어떻게 되십니까?
고객,계좌 주는 공공공인 걸로 알고 있어요.
상담사,계좌 비밀번호를 안내에 따라서 입력해야 하는 단계에요.
고객,알겠습니다.
상담사,연결해 주세요.
고객,바로 비밀번호 입력 프로그램과 연결하겠습니다.
상담사,정상적으로 처리되어 다음 단계로 넘어가실 수 있습니다.
고객,다음 과정입니다.
상담사,언제 거래가 이루어졌습니까?
고객,30분 전에 이체했었어요.
상담사,고객님의 계좌를 검색하여 조회 사실을 확인하였습니다.
고객,거래 내역이 일곱 건이 존재하여 확인이 필요합니다.
상담사,얼마든지 무슨 정보가 필요하십니까?
고객,우선 고객님께서 잘못 송금하신 은행명을 알아야 합니다.
상담사,추후에 상대방에게 연락하는 것에 쓰이게 됩니다.
고객,잠시만요 찾아보니 공공은행입니다.
상담사,다음 정보를 물어보도록 하겠습니다.
고객,고객님께서 잘못 이체하신 계좌에 계좌번호가 어떻게 되는지 말씀해 주실 수 있으십니까?
상담사,000 잠시만 기다려 주세요 000 공입니다 정보 감사합니다.
고객,고객님 이 상황을 해결하기 위하여 상대방 은행에게 연락하여 찾아보도록 하겠습니다.
상담사,좋은 서비스 되셨길 바라며 이상 000 이었습니다.
고객,
