Role,Dialogue
고객,어떻게 하죠?
상담사,돈을 송금하는데 계좌번호를 착각하고 잘못 눌렀어요.
고객,일단 짐착하시고 잘못된 송금에 대해서 은행에서는 최대한의 협력을 약속드립니다.
상담사,네 이체한 돈을 어떻게 돌려받을 수 있습니까?
고객,도움을 드리기 앞서서 고객님의 송금 사실을 파악해야 합니다.
상담사,계좌번호를 알려주실 수 있으신가요?
고객,보냈던 저의 계좌번호는 공 공 다시 000 다시 000으로 알고 있어요.
상담사,다음 계좌주는 어떻게 되십니까?
고객,계좌를 식별하기에 필요한 단계입니다.
상담사,송금을 실행한 계좌명은 000 계좌 비밀번호를 안내에 따라서 입력해야 하는 단계예요.
고객,그렇군요.
상담사,입력도록 하겠습니다.
고객,이제 프로그램에 연결시켜 드리겠습니다.
상담사,버튼을 눌러 주십시오.
고객,비밀번호 눌렀습니다.
상담사,확인 완료했습니다.
고객,고객님 다음 과정입니다.
상담사,언제 거래가 이루어졌습니까?
고객,1시간 전에 보냈었어요.
상담사,검색을 완료했습니다.
고객,거래가 두 건이 있어서 확인이 필요합니다.
상담사,당연히 가르쳐 드려야지요.
고객,무슨 정보예요?
상담사,먼저 고객님께서 보낸 상대방의 은행명을 알아야 합니다.
고객,마지막에 상대방 은행에 연락을 해야 하기 때문입니다.
상담사,기억나네요 공공은행입니다.
고객,다음 질문입니다.
상담사,잘못 이체하신 계좌번호가 어떻게 되어 있는지 말씀해 주실 수 있나요?
고객,000 다시 000 다시 공 공 공입니다 고생하셨습니다.
상담사,해당 은행 기관에 연락하여 협조를 구해 보도록 하겠습니다.
고객,만족한 서비스가 되셨기를 바라며 이상 상담원 공공공이었습니다.
상담사,
