Role,Dialogue
고객,어떻게 해요?
상담사,제가 계좌번호를 잘못 입력해서 다른 곳으로 돈이 들어갔어요.
고객,ATM 기기에 취소할 수 있나요?
상담사,불편하시겠지만 ATM 기에서 취소할 수 있는 방법은 없습니다.
고객,돈을 돌려받을 수 있을까요?
상담사,입금 받은 예금주의 동의 없이는 돌려받기는 불가합니다.
고객,누군지도 모르는데 어떻게 동의를 받아요?
상담사,일단 은행을 방문하셔서 자금 반환 거래 요청해 주셔야 합니다.
고객,그쪽에서 동의해 주면 돈을 돌려받을 수 있나요?
상담사,네.
고객,받을 수 있습니다.
상담사,그쪽이 동의를 안 해주면요 동의해 주지 않으면 죄송하지만 돌려받을 수 없습니다.
고객,이런 거 은행에서 구제해 주는 방법이 없나요?
상담사,아직 그런 제도가 마련되지 않았습니다.
고객,그럼 제가 잘못 보낸 그 사람 연락처는 알 수 있어요.
상담사,죄송하지만 개인 정보는 공유되지 않습니다.
고객,그럼 방문해서 바로 신청 가능하단 말이죠?
상담사,"네, 그렇습니다."
고객,"고객님, 네, 알겠습니다."
상담사,더 문의하실 사항은 없으신가요?
고객,"네, 없습니다."
상담사,감사합니다.
고객,
