Role,Dialogue
고객,얼마 전 해고 당해서 직장이 없는데 저 같은 사람도 대출이 되나요?
상담사,직장을 안 다니셔도 가능한 대출이 있습니다.
고객,어떤 대출인가요?
상담사,무직자 대출이라고 하는데요.
고객,말 그대로 직장은 없지만 신용등급이 괜찮은 분들을 위한 대출입니다.
상담사,신용등급이 얼마나 좋아야 되나요?
고객,신용등급은 칠등급 이상이면 됩니다.
상담사,생각보다 낮아도 대출이 되는군요?
고객,신용 칠등급이 대출이 되는 금액이라는 게 아니라 가능 금액이라는 뜻입니다.
상담사,가능하지만 심사를 해봐야 알 수 있습니다.
고객,그렇군요.
상담사,전 오등급이거든요.
고객,오 등급이면 괜찮으시고요.
상담사,혹시 기존에 대출 있으십니까?
고객,"대출 있긴 한데요, 왜요?"
상담사,대출 있으면 무직자 대출 안 되나요?
고객,대출 있어도 가능하시긴 한데요.
상담사,다만 그 액수가 5천만 원을 넘지 않아야 합니다.
고객,원래 제가 대출을 7천만 원 받고 3천만 원 상환했거든요.
상담사,그러면 4002 대출이 되는 거죠.
고객,상환하셨으면 기존 대출을 남은 사천으로 심사가 들어갑니다.
상담사,다행이네요.
고객,제가 여태 연체 1번 없었거든요.
상담사,정말 다행이시네요.
고객,저희가 연체가 한 번이라도 있으면.
상담사,무직자 대출 심사 대상이 안 되시거든요.
고객,무직자라 그런지 생각보다 까다롭네요.
상담사,그렇습니다.
고객,아무래도 직장이 없으면 저희도 그만큼 위험을 감수해야 해서요.
상담사,이해해 주시기 바랍니다.
고객,지금 저 같은 상황에서 대출이 되면 얼마나 받을 수 있나요?
상담사,고객님께서는 등급도 괜찮으시고 상환 이력도 있으셔서 심사를 받아봐야 알겠지만 오백에서 천만 원 사이로 나올 것 같습니다.
고객,
