Role,Dialogue
고객,여보세요 계좌에 주식 잔액이 궁금합니다.
상담사,반갑습니다.
고객,000 증권입니다.
상담사,계좌번호 불러주세요.
고객,제 계좌는 공공공공공공공 다시 공공공공공 다시 공공공공공입니다.
상담사,앞서서 보안을 위하여 본인 확인하겠습니다.
고객,본인이 맞으신가요 다음으로?
상담사,선생님의 생년월일 여섯자리 또는 여덟자리 알려주시겠어요?
고객,저의 생년월일은 공공공공공공공공입니다.
상담사,본인 확인에 도움을 주셔서 감사합니다.
고객,증권 계좌의 보유 주식은 종목 공공공에 수량 공공주예요 이상 상담원 공공공이었습니다.
상담사,여보세요?
고객,증권 계좌의 보유 주식이 얼마인지 궁금합니다.
상담사,안녕하세요?
고객,000 증권입니다.
상담사,계좌번호 열 자리가 어떻게 되신가요?
고객,본인의 계좌번호가 공 공 공공공공공공으로 알고 있어요.
상담사,죄송하지만 도와드리기에 앞서 고객님의 본인확인 먼저 도와드리도록 하겠습니다.
고객,전화하신 분이 본인 맞습니까?
상담사,그렇습니다.
고객,다음입니다.
상담사,선생님의 생년월일 여섯자리 또는 여덟자리가 어떻게 되시죠?
고객,저의 생년월일은 공공공공공공입니다.
상담사,확인해 주셔서 감사합니다.
고객,계좌보유 주식 수는 000 종목 000 주를 가지고 있어요.
상담사,"예 이상 공공증권, 공공공이었어요."
고객,
