Role,Dialogue
고객,여보세요 공공기관에 공공공이라고 합니다.
상담사,어제 통화 연결이 안 되던데 무슨 일이었습니까?
고객,통신 시스템에 대한 무차별 공격으로 인하여 통신 시스템에 마비가 발생했었습니다.
상담사,참내 여튼 그게 문제가 아닙니다.
고객,다른 질문 사항이 있어서 연락드렸습니다.
상담사,감사합니다.
고객,어떤 문제로 연락을 주셨습니까?
상담사,시스템에 들어가 보려고 했는데 접속이 안 됐습니다.
고객,다시 한번 질문 드리겠습니다.
상담사,시스템에 접속할 수 없던 것이 맞습니까?
고객,"네, 맞습니다."
상담사,답변 감사합니다.
고객,금융사고 관련하여 질문이 있겠습니다.
상담사,동의하십니까?
고객,내가 납득할 수 있는 답변만 얻을 수 있다면야 얼마든지 협조하도록 하겠습니다.
상담사,감사합니다.
고객,질문 드리도록 하겠습니다.
상담사,어떤 것을 이용하여 접속하셨습니까?
고객,모바일을 이용하여 접속을 시도했습니다.
상담사,어플리케이션을 통해서 접속하셨나요?
고객,종합보험 조회 사이트를 이용해서 접속하려고 했어요.
상담사,"네, 끝으로 하고자 하시는 업무가 무엇이었나요?"
고객,예를 들면 보험 조회입니다.
상담사,보험료 납입이에요.
고객,사고 관련하여.
상담사,문의 사항을 모두 끝났습니다.
고객,그럼 이 정도 노력했으면 보상 정도는 줘야 하는 것 아니에요?
상담사,물론이겠죠.
고객,죄송스러운 말씀을 드리자면 보상 절차는 없는 것으로 알고 있습니다.
상담사,괜찮은데 조금 아쉽네요.
고객,어쩔 수 없는 점 양해 부탁드립니다.
상담사,공공공이었습니다.
고객,
