Role,Dialogue
고객,여보세요 공공은행에 맞게 전화 걸 것 맞나요?
상담사,공공은행 상담원 000입니다.
고객,공공은행 맞습니다.
상담사,이제서야 맞게 전화를 걸었네요.
고객,다행입니다 맞게 전화 거셨군요.
상담사,내 심장이야 전화한 이유를 까먹을 뻔했네요.
고객,항상 밝은 미소로 답하겠습니다.
상담사,어떤 문의 사항이십니까?
고객,어제 거래 확인은 서를 어디 있는지 못 찾겠습니다.
상담사,다시 발급받으려면 어떻게 해야 합니까?
고객,죄송하지만 다시 발급받기 귀찮으시지만 다시 발급받으셔야 합니다.
상담사,예상은 했었어요.
고객,혹시 지금 재발급 받을 수 있을까요?
상담사,고객님의 요청을 수행할 수 있습니다.
고객,전화로 재발급 받을 수 있다니.
상담사,우리는 너무 좋은 시대에 살고 있는 것 같습니다.
고객,재발급해 주시면 감사하겠습니다.
상담사,그럼 재발급을 도와드리도록 하겠습니다.
고객,업무를 도와드리기 전에 본인 확인 먼저 도와드리도록 하겠습니다.
상담사,전화하신 분이 본인 맞나요?
고객,제가 전화한 것이 맞습니다.
상담사,조임이 확실합니다.
고객,다음 절차상 고객님의 생년월일을 여쭈어 봐야 합니다.
상담사,생년월일이 어떻게 되십니까?
고객,연도는 네 자리 모두 불러 주셔야 합니다.
상담사,그렇게 해야죠.
고객,"저의 생년월일은 공공공공년, 공월공공일입니다."
상담사,감사합니다.
고객,고객님의 개인 정보를 검색해 본 결과 발급을 받으신 경험이 한 번밖에 없어서 재발급 가능합니다.
상담사,다음 받으실 방법을 선택하셔야 합니다.
고객,우편과 은행 지점 중 어느 것이 편하십니까?
상담사,우편 수령으로 받으면 제가 편할 것 같습니다.
고객,위 방법으로 처리할 수 있도록 처리하겠습니다.
상담사,감사합니다.
고객,덕분에 시간을 벌 수 있게 됐습니다.
상담사,감사합니다.
고객,고객님께서 안심 되시길 바라며 공공은행의 공공공이었습니다.
상담사,
