Role,Dialogue
고객,여보세요 뇌졸증의 보상금액은 얼마인지 알고 싶습니다.
상담사,안녕하십니까?
고객,000 보험입니다.
상담사,공 공 파트인데 한 가지 질문이 있어요.
고객,질병 또는 상해 진단을 받으셨습니까?
상담사,어제 판정을 받았어요.
고객,보상 및 보장 처리 과정을 위하여 본인 확인을 실시해도 되겠습니까?
상담사,도움이 된다면 하도록 할게요.
고객,개인 정보를 최대한 보호하며 도와드리겠습니다.
상담사,선생님의 생년월일이 어떻게 됩니까?
고객,제 생년월일은 공공공공공공공입니다.
상담사,그다음으로 고객님의 성명을 알려주세요.
고객,저의 이름은 공공공이라고 알려드리고 싶군요.
상담사,전화번호 뒷 네 자리는 어떻게 되어 있습니까?
고객,제 휴대폰 번호 마지막 네 자리는 0000 번으로 되어 있습니다.
상담사,친절한 본인 확인 감사합니다.
고객,보상금액이 어떻게 되는지 신속하게 알려주시면 아주 좋을 것 같은데요.
상담사,보장 처리를 위하여 몇 가지 더 여쭤보겠습니다.
고객,어떤 것을 물어보지요?
상담사,가입하신 상품이 000000 상품으로 되어 있습니다.
고객,맞습니까?
상담사,맞아요.
고객,이제 끝난 것이 맞습니까?
상담사,그렇다면 000000 상품의 보상액은?
고객,공공공공공공공원으로 선정됩니다.
상담사,잘 들었습니다.
고객,네 이삼공공공이었습니다.
상담사,
