Role,Dialogue
고객,여보세요?
상담사,부산은행 홈페이지에 접속할 수 없어요.
고객,통신 상태의 문제인지는 모르겠으나 순간적으로 들리지 않아 다시 여쭈어보도록 하겠습니다.
상담사,공공은행 홈페이지에 접속하시는 것이 불가능하다는 말씀이 맞습니까?
고객,안 들어 가집니다.
상담사,들어가지 못하는 결과가 무엇인가요?
고객,404 에러가 보입니다.
상담사,안타깝게도 알려진 오류는 없어요.
고객,"고객님, 만일에 대비하여 온라인 거래를 중단하여 주십시오."
상담사,그렇게 됐다면 어떻게 거래할 수 있습니까?
고객,죄송스러운 말씀이지만 현재 상황 파악이 될 때까지 기다려 주시면 되겠습니다.
상담사,뭐라고요?
고객,다시 죄송한 말씀을 드리겠습니다.
상담사,지금 상황 파악이 될 때까지 온라인 거래를 할 수 없습니다.
고객,"아, 그럼."
상담사,모바일 뱅크로는 거래할 수가 없습니까?
고객,현재 상태에서는 확실하게 말씀드릴 수 없는 점 양해 부탁드립니다.
상담사,빠른 시일 내에 복구하도록 하겠습니다.
고객,이게 말인가요?
상담사,어디서 계좌를 조회할 수 있습니까?
고객,주변에 24시 자동화 기기에 이용하여 주십시오.
상담사,저는 그 시간에는 일하고 있어서 영업점에 못 가요.
고객,죄송합니다.
상담사,상황을 파악하지 못하고 말씀드린 것에 대한 것은 너그러운 마음으로 이해해 주시면 감사하겠습니다.
고객,할 말이 없네요.
상담사,휴대폰 전화번호와 이름을 남겨주시면 전화 또는 문자로 안내를 도와드리도록 하겠습니다.
고객,싫습니다.
상담사,싫어요 안 알려줄게요.
고객,알겠습니다.
상담사,"고객님, 죄송스러운 마음을 전해드리며 상담은 공공공이었습니다."
고객,통화 주신 점 감사합니다.
상담사,
