Role,Dialogue
고객,여보세요 신한은행 홈페이지에 접속이 불가능해요.
상담사,저희 은행 홈페이지에 접근을 못 한다는 거군요?
고객,맞아요.
상담사,못 들어가는 증상이 어떻게 되십니까?
고객,페이지를 찾을 수 없습니다라고 나타나요.
상담사,안타깝게도 알려진 오류는 없습니다.
고객,만일에 대비하여 온라인 거래를 중단하여 주시길 바랍니다.
상담사,어떻게 거래할 수 있습니까?
고객,죄송하지만 현황 파악이 될 때까지 기다려 주시면 감사하겠습니다.
상담사,다시 죄송한 말씀을 드리자면 지금 현황 파악이 될 때까지 온라인 거래가 불가능해요.
고객,"아, 그럼 모바일을 이용해서는 거래할 수 있나요?"
상담사,지금 상태에서는 서비스를 이용할 수 있다고 단언할 수 없습니다.
고객,모바일도 안 되는 것 맞습니까?
상담사,그렇다면 어떻게 잔고 조회를 할 수 있죠?
고객,공구시 삼십분에서 15시까지 영업점에서 이용하실 수 있습니다.
상담사,우리 집 근처에는 영업점이 없습니다.
고객,사정을 이해하지 못하고 말씀드린 것에 대한 너그러움 이해 부탁드려요.
상담사,너무한 거 아니에요.
고객,그러하시다면 연락받으실 전화번호와 성함을 남겨주시면.
상담사,전화 또는 문자로 안내를 도와드리도록 하겠습니다.
고객,"괜찮아요, 기다리죠."
상담사,뭐 네 알겠습니다.
고객,죄송스러운 마음을 전해 드리며 공공은행 상담은 공공공이었습니다.
상담사,
