Role,Dialogue
고객,여보세요 엊그제 전화 연결을 할 수 없어서 다시 연락드렸습니다.
상담사,안녕하십니까?
고객,공공보험입니다.
상담사,회선에 문제가 발생하여 서비스하지 못했었습니다.
고객,양해 부탁드립니다.
상담사,쓱 아니지 이걸 물으려고 한 게 아니라 다른 문의가 있어서 연락드렸습니다.
고객,깜빡했네요.
상담사,다른 문제를 말씀해 주시면 정신껏 도와드리도록 하겠습니다.
고객,어떤 문제이십니까?
상담사,제가 해봤는데 엊그제 접속이 안됐습니다.
고객,시스템에 접속도 안되고 무슨 일입니까?
상담사,다시 한번 질문드리겠습니다.
고객,시스템으로 접속되지 않았나요?
상담사,"네, 맞습니다."
고객,그렇다면 금융사고 안내를 도와드리도록 하겠습니다.
상담사,그전에 몇 가지 질문드릴 것이 있습니다.
고객,동의하십니까?
상담사,하도록 하겠습니다.
고객,감사합니다.
상담사,무엇을 이용하여 시스템에 접근하시려고 하셨습니까?
고객,모바일을 이용하여 접속을 시도했습니다.
상담사,무엇을 통해서 접속하셨나요?
고객,저희 회사 연계 API 를 이용했습니다.
상담사,"네, 하려고 하셨는 일은 어떤 것이었나요?"
고객,"예를 들면 보험 조회예요, 보험 가입입니다."
상담사,"네, 고객님의 답변 감사합니다."
고객,어려운 사고 관련한 질문을 모두 끝났습니다.
상담사,그럼 금 같은 시간과 피 같은 노력으로 답변을 진행했는데 물론 보상이 있겠지요.
고객,미리 보상 절차를 마련하지 못하여 말씀드릴 수 없습니다.
상담사,어쩔 수 없는 것 아니겠습니까?
고객,다시 죄송스러운 말씀을 드립니다.
상담사,공공보험공공공이었습니다.
고객,이상 연결 끊도록 하겠습니다.
상담사,
