Role,Dialogue
고객,여보세요 제가 전화한 번호가 공공은행 번호이지요.
상담사,공공은행 상담원 000입니다.
고객,공공은행 맞습니다.
상담사,휴 다행입니다.
고객,공공은행 전화번호는 항상 이 전화번호입니다.
상담사,잠깐만요.
고객,내가 이것 때문에 전화한 게 아니었어요.
상담사,상담 센터는 어떤 것이든 물어보셔도 됩니다.
고객,무슨 문의입니까?
상담사,어제 통장 증명서를 잃어버렸는데요.
고객,다시 발급받으려면 어떻게 해야 하나요?
상담사,죄송하지만 다시 발급받기 귀찮으시지만 다시 발급받으셔야 합니다.
고객,예상은 했습니다.
상담사,혹시나 가능하면 지금 제값 재발급 받을 수 있을까요?
고객,조금 급해서요.
상담사,재발급이 가능합니다.
고객,이렇게 감사할 수가 다시 재발급해 주시면 감사하겠습니다.
상담사,그럼 해당 물품의 재발급을 도와드리도록 하겠습니다.
고객,고객님을 도와드리기 전에 본인 확인 먼저 하도록 하겠습니다.
상담사,본인이 맞나요?
고객,제가 전화한 것이 맞습니다.
상담사,저임이 확실합니다.
고객,그럼 다음으로 넘어가도록 하겠습니다.
상담사,고객님의 생년월일을 말씀해 주실 수 있으시겠습니까?
고객,생년월일을 말씀드리겠습니다.
상담사,공공공공년 공월공공일입니다.
고객,검색해 본 결과 저희 은행에서 발급받으신 이력이 있어 재발급 사항에 위배되지 않아 재발급을 도와드릴 수 없습니다.
상담사,다음 방법을 선택하셔야 합니다.
고객,우편과 은행 지점 중 어느 것이 더 편하십니까?
상담사,현장 수령으로 하겠습니다.
고객,그럼 그렇게 처리하도록 시스템에 입력하도록 하겠습니다.
상담사,아주 만족스럽습니다.
고객,감사합니다.
상담사,행복한 하루가 되시길 기원하며 상담은 공공공이었습니다.
고객,
