Role,Dialogue
고객,여보세요 콜센터인가요?
상담사,4000 보험 콜센터입니다.
고객,무엇을 도와드릴까요?
상담사,보험 출금 관련해서 궁금합니다.
고객,"네, 말씀하시면 답변드리겠습니다."
상담사,실효 예정인 보험계약이 있는데 25일에 잔고가 없어 보험료가 인출되지 않았습니다.
고객,말일자에 은행에 입금해 놓으면 출금되나요?
상담사,출금되지 않습니다.
고객,말일에 1번 더 출금하지 않나요?
상담사,은행 계좌의 경우 재 출금 일자는 5일 15일 이십오일입니다.
고객,"그래요, 그럼 어떻게 하나요?"
상담사,최종 청구일인 25일에 보험료가 인출되지 않았다면?
고객,말일까지는 우체국으로 방문하여 미납 보험료를 납입해야 합니다.
상담사,우체국 계좌도 그런가요?
고객,아닙니다.
상담사,우체국 계좌인 경우 말일에 일회분 보험료 재청구합니다.
고객,그럼 실시간 납부도 가능한가요?
상담사,인터넷 뱅킹이나 모바일 앱에서 실시간 납부 가능합니다.
고객,계약자 본인 명의로 되어 있어야 하나요?
상담사,"네, 맞습니다."
고객,계약자 본인 명의 통장에 잔고가 있어야 합니다.
상담사,"네, 잘 알겠습니다."
고객,이상 상담원 공공공이었습니다.
상담사,"네, 수고하세요."
고객,
