Role,Dialogue
고객,연체 처리가 어떻게 되나요?
상담사,카드 대금 연체 시에는 문자메시지 또는 유선으로 연체 발생 사실을 회원님께 안내해 드립니다.
고객,연체 금액 및 회원의 신용도 등에 따라 채권을 관리하는 지점에서 방문 추심을 하기도 합니다.
상담사,카드 대금 연체로 다른 은행이나 카드사에도 불이익을 당해서.
고객,이럴 수 있어요?
상담사,"연체 시에는 신용도 등을 고려하는 신용카드 거래정지를 하고 있으며, 일정 기간 경과 후에는 신용정보회사를 통해 연체정보를 공유하고 있습니다."
고객,그럼 금융권에서 제 신용정보를 공유를 한다는 말이가?
상담사,"네, 그렇습니다."
고객,아무리 그래도 그렇지 카드 대금 연체로 인한 법적 절차는 너무 하는 거 아닌가?
상담사,상황에 따라서는 채권을 매각하거나 민사소송법 및 민사집행법상의 법적 절차에 따라 채권 회수를 위한 법적 조치를 취합니다.
고객,그러면 뭐 가압류라도 들어온다는 말인가?
상담사,가압류 가처분 지급명령?
고객,"본안소송 압류, 추심 압류, 전부 유채동산 자동차, 부동산 압류, 경매 자동차, 인도명령 재산 명시, 재산 조회, 채무 불이행자 명부 등재 되십니다."
상담사,법적 조치 유예를 위해서는 어떻게 하란 말이고 법적 조치 유예를 위해서는 사전에 채무자 본인의.
고객,상한 계획 및 일정 등을 채권 추심 담당자와 협의하여 조정하여야 합니다.
상담사,"채권 추심 담당자와 연락하라고 네 고객님, 법적 절차 진행에 대한 내용을 미리 안내하고 있습니다."
고객,안내 내용 미수령에 따른 불이익을 예방하기 위해서는 연락처나 주소지 등의 변경 내용을.
상담사,당사에 변경 요청해 주어야 합니다.
고객,채권 추심이 제한될 수도 있나?
상담사,"채권 추심과 채권 확보 및 회수를 위한 법적 조치는 채권자의 정당한 권리이며, 이에 대해서는 금융감독기관에서도 그 권리를 제한할 수 없습니다."
고객,그러나 채권 추심을 위하여 채권의 공정한.
상담사,추심에 관한 법률에서는 금지 사항을 규정하고 있습니다.
고객,그람은 채권 추심이 불가능한 시간도 있나?
상담사,현행 여신 전문 금융업법 감독 규정에서는 채권 추심 시 심야에 오후 아홉시부터 오전 여덟시까지 방문 또는 전화하는 행위를 금하고 있습니다.
고객,다만.
상담사,현재 공휴일에 채권 추심에 대한 규약이 없으므로 공휴일 채권 추심이 가능하다고 볼 수 있습니다.
고객,"그래, 알겠다, 감사합니다."
상담사,
