Role,Dialogue
고객,예금 잔액 증명서를 발급되어 영업점에서 신청하신 후 발급됩니다.
상담사,본인 말고 대리인이 가도 되죠?
고객,본인이 방문하는 것이 원칙이나 부득이할 사항일 경우 대리인도 가능합니다.
상담사,아 대리인도 가능하다고요?
고객,"네, 그렇습니다."
상담사,만약 대리인이 방문 시에는 실명 증표 통장.
고객,통장 도장 또는 서명 위임장 본인의 인감증명서 또는 본인서명 사실 확인서를 모두 지참 후 방문하셔야 대리인 발급됩니다.
상담사,국문만 발행되어 국문과 영문 발행됩니다.
고객,코로나 땜에 영업점에 가기 실래요?
상담사,비대면으로 증명서 발급 및 출력 못해주나요?
고객,고객님 죄송합니다.
상담사,비대면 서비스는 안됩니다.
고객,한 번에 몇 개 계좌까지 대여 한 번에 10개 계좌까지 되십니다.
상담사,오늘 신청하면 오늘 받을 수 있죠.
고객,그렇습니다.
상담사,고객님 당일 받을 수 있습니다.
고객,계좌가 많이 옛날 건데 안 되는 건 아니죠?
상담사,아닙니다.
고객,고객님 발급 기준일이 2년 경과한 경우는 영업점에 방문하여.
상담사,재발급하셔서 발급하시면 가능하나 2년 경과한 후는 안됩니다.
고객,영문 잔액 증명서 발급 시 영문명이 미등록 상태면 바로 받을 수 있어요.
상담사,영업점 방문 후 등록하시면 바로 받을 수 있습니다.
고객,옛날 계좌라 개명했는데 크게 상관 있을까요?
상담사,마찬가지로 영업점 방문 후 재등록하시면?
고객,그게 상관 없습니다.
상담사,
