Role,Dialogue
고객,예금 잔액 증명서를 발급받으려고 하는데요.
상담사,고객님 발급은 모든 영업점에서 신청 가능합니다.
고객,본인 말고 대리인이 가도 되나요?
상담사,잔액 증명서 발급 신청을 위해서는 가급적 본인이 방문하는 것을 원칙으로 합니다.
고객,꼭 본인이어야 하나요?
상담사,만약 대리인이 방문 시에는.
고객,실명 증표 통장 통장 도장 또는 서명 위임장 본인의 인감증명서 또는 본인서명 사실 확인서가 필요합니다.
상담사,국문만 발행 가능하나요?
고객,잔액 증명서 또는 영문으로 발급 가능합니다.
상담사,코로나 때문에 최대한 밖에 안 나가는데요.
고객,비대면으로 증명서 발급 및 출력 가능하나요?
상담사,아니요 고객님.
고객,비대면으로 증명서 발급 신청 조회는 불가합니다.
상담사,반드시 영업점에서 신청하셔야 합니다.
고객,한 번에 몇 개 계좌까지 신청되나요?
상담사,한 번에 10개 계좌까지 선택하여 신청하실 수 있습니다.
고객,오늘 신청하면 오늘 받을 수 있나요?
상담사,영업점에서 발급 기준일이 당일인 경우는 발급 가능하나 비대면은 어렵습니다.
고객,계좌가 좀 오래된 계좌도 있는데 잔액 증명서 발급이랑 상관없죠?
상담사,아닙니다.
고객,고객님 발급 기준일이 2년 경과한 경우는 영업점에 방문하여 발급하여 주시기 바랍니다.
상담사,영문 잔액 증명서 발급 시 영문명이 미등록된 경우 받을 수 있나요?
고객,미등록된 경우는 영업점에서 방문하여.
상담사,등록 후 바로 발급 가능합니다.
고객,옛날 계좌라 개명 신청을 했는데 다 바꿔야 하나요?
상담사,"네, 고객님 실명 미확인 계좌는 영업점에서 발급하여 주시기 바랍니다."
고객,
