Role,Dialogue
고객,"예금 잔액 증명서를 발급받으려고 합니다만, 고객님 발급은 모든 영업점에서 신청하셔서 발급 가능하십니다."
상담사,본인 말고 대리인이 가도 되는 겁니까?
고객,잔액 증명서 발급 신청을 위해서는 가급적 본인이 방문하는 것을 원칙으로 하고 있습니다.
상담사,가급적이면 본인이 가되 꼭 본인이 아니어도 된다는 말씀입니까?
고객,만약 대리인이 방문 시에는 실명 증표 통장 통장 도장 또는 서명 위임장 본인의 인감증명서 또는 본인서명 사실 확인서를 지참 후 방문하시면 발급 가능하십니다.
상담사,국문만 발행 가능합니까?
고객,국문과 영문 발행 가능합니다.
상담사,코로나 때문에 최대한 밖에 안 나가는데요.
고객,그래서 영업점에 가기 싫어요.
상담사,비대면으로 증명서 발급 및 출력 가능합니까?
고객,아니요.
상담사,고객님 비대면으로 불가한 서비스이며 영업점에서 신청하셔야 가능하십니다.
고객,한 번에 몇 개 계좌까지 신청할 수 있습니까?
상담사,한 번에 10개 계좌까지 신청하실 수 있습니다.
고객,오늘 신청하면 오늘 받을 수 있습니까?
상담사,영업점에서 발급 기준일이 당일인 경우는 발급 가능합니다.
고객,계좌가 좀 오래된 계좌도 있는데 잔액 증명서 발급이랑 상관없습니까?
상담사,아닙니다.
고객,고객님 발급 기준일이 1년 경과한 경우는 영업점에 방문하여 발급하여 주셔야 합니다.
상담사,영문 잔액 증명서 발급 시 영문명이 미등록된 경우 받을 수 있나요?
고객,미등록된 경우는 영업점에 방문하여 등록 후 바로 발급 가능합니다.
상담사,옛날 계좌라 개명 신청을 했는데 하나하나 바꿔줘야 합니까?
고객,"네, 고객님 실명 미확인 계좌는 영업점에서 발급하여 주셔야 합니다."
상담사,
