Role,Dialogue
고객,예금 잔액 증명서를 발급받으려고요.
상담사,영업점에서 신청하셔야 발급받으실 수 있습니다.
고객,본인 말고 대리인이 가도 되는 거죠?
상담사,잔액 증명서 발급 신청을 위해서는 가급적 본인이 방문하는 것이 원칙입니다.
고객,가급적이면 본인이 가되 꼭 본인이 아니어도 된다는 말씀이죠?
상담사,"네, 그렇습니다."
고객,고객님.
상담사,만약 대리인이 방문 시에는 실명 증표 통장 통장 도장 또는 서명 위임장 본인의 인감증명서 또는 본인서명 사실 확인서를 지참 후 방문하셔야 발급 가능합니다.
고객,국문만 발행 가능해요.
상담사,국문과 영문 발행하고 있습니다.
고객,코로나 땜에 최대한 밖에 안 나가는데요.
상담사,그래서 영업점에 가기도 싫어요.
고객,비대면으로 증명서 발급 및 출력되나요?
상담사,아니요.
고객,고객님 죄송합니다.
상담사,비대면 서비스는 제공되지 않습니다.
고객,한 번에 몇 개 계좌까지 신청됩니까?
상담사,한 번에 10개 계좌까지 됩니다.
고객,오늘 신청하면 오늘 받을 수 있어요.
상담사,영업점에서 발급 기준일이 당일인 경우는 받을 수 있습니다.
고객,계좌가 많이 옛날 건데 잔액 증명서 발급이랑 상관 있나요?
상담사,아닙니다.
고객,고객님 발급 기준일이 2년 경과한 경우는 영업점에 방문하여 재발급해야 합니다.
상담사,영문 잔액 증명서 발급 시 영문명이 미등록된 경우 바로 받을 수 있게 해줍니까?
고객,미등록된 경우는 영업점에 방문하여 등록 후.
상담사,바로 받을 수 있게 해 드립니다.
고객,옛날 계좌라 개명 신청을 했는데 상관 있나요?
상담사,"네, 고객님 실명 미확인 계좌는 영업점에서 재발급 하시면 됩니다."
고객,
