Role,Dialogue
고객,예금 해지 관련하여 문의 드립니다.
상담사,인터넷으로 예금 해지 가능한가요?
고객,어떤 상품 말씀이신가요?
상담사,일반 정기예금입니다.
고객,인터넷으로 가입하신 상품인가요?
상담사,아니요.
고객,영업점에서 가입한 것으로 기억합니다.
상담사,죄송하지만 영업점 가입 상품은 인터넷 해지가 불가능합니다.
고객,왠지 그럴 것 같아서 영업점을 찾아갔더니 폐쇄하셨더라고요.
상담사,"아, 그러시군요."
고객,상품 가입한 영업점이 아니더라도 다른 영업점에서 가능하십니다.
상담사,알겠습니다.
고객,통장을 가지고 가야 하나요?
상담사,"네, 혹시 통장이 없으신가요?"
고객,"네, 이사하면서 분실한 것 같습니다."
상담사,혹시 도장으로 만드신 통장이신가요?
고객,서명으로 만들었습니다.
상담사,그러시군요.
고객,신분증과 함께 영업점 방문하시면 가능합니다.
상담사,그렇군요.
고객,예금인출과 함께 타 은행으로 송금도 가능한 것이지요.
상담사,"네, 가능합니다."
고객,혹시 송금 수수료가 있나요?
상담사,타 은행 송금 수수료의 경우 금액에 따라 차등 적용됩니다.
고객,"네, 알겠습니다."
상담사,
