Role,Dialogue
고객,예금 해지 관련해서 문의 드립니다.
상담사,"네, 무엇을 도와드릴까요?"
고객,예금이 만기 되었는데 제가 못 갈 것 같아서 대리인 해지하려고요.
상담사,죄송합니다.
고객,예금 해지는 본인만 가능합니다.
상담사,이런 제가 지금 해외 체류 중인데요.
고객,그러시군요.
상담사,"고객님, 혹시 인터넷 뱅킹은 사용 중이신가요?"
고객,"아니요, 사용하지 않고 있습니다."
상담사,"그러시군요, 고객님."
고객,부득이한 경우에는 대리인이 필요 서류를 준비하시고 방문하시면 예외적으로 처리를 해드리고 있습니다.
상담사,"네, 필요한 서류가 어떤 것들인가요?"
고객,본인의 위임장 인감증명서 체류국에 영사 확인을 받으셔야 합니다.
상담사,영사 확인은 여기에서 하면 되는 건가요?
고객,"네, 그렇습니다."
상담사,제 가족이 가야 하나요?
고객,대리 권한이 있으면 반드시 가족이 아니어도 무방합니다.
상담사,제 여권도 필요한가요?
고객,"아니요, 여권은 없으셔도 됩니다."
상담사,본인만 소지하셔야 하는 신분증입니다.
고객,알겠습니다.
상담사,혹시 신규 예금 중에 괜찮은 게 있을까요?
고객,현재 예금 상품이 몇 가지 있는데 기존 대비 이율이 많이 줄어서 최대 이 프로 상품이 있습니다.
상담사,"아, 그렇군요."
고객,네 알겠습니다.
상담사,"네, 감사합니다."
고객,
