Role,Dialogue
고객,예전에 제가 공 공 증권에 펀드에 가입한 게 있을 건데 거래 내역을 찾을 수가 없어요.
상담사,저희 증권사 홈페이지에 확인해 보셨습니까?
고객,인터넷으로 확인해 봤는데 확인이 안 되던데요.
상담사,예전에 사용하시고 안 하시는 거면 휴면 계좌로 설정되어 있을 가능성이 큽니다.
고객,휴먼 계좌는 이미 확인해 봤습니다.
상담사,거기도 없던데요.
고객,예전에 거래하셨다고 하셨는데 거래한 날짜를 알려 주시면 제가 확인해 보겠습니다.
상담사,언제인지는 정확히 모르겠고요.
고객,이천십일년도인가 그랬던 것 같아요.
상담사,개월까지 알 수 있을까요?
고객,가을이었던 것 같아요.
상담사,이천십일년도 가을쯤으로 해서 검색해보니.
고객,고객님이 가입한 펀드 거래내역이 나옵니다.
상담사,이천십일년도 시월이네요.
고객,인터넷으로는 거래내역 없다고 뜨던데요.
상담사,왜 그런 거죠?
고객,아마 휴면계좌라서 그런 것 같습니다.
상담사,휴면계좌라도 거래내역 없다고 하면 안되죠.
고객,거래내역 있는데 휴면계좌인 상태로는 거래내역을 보실 수 없고요.
상담사,휴면 계좌 해지를 하셔야만 보실 수 있습니다.
고객,휴면 계좌로 설정된 거를 해지하려면 영업점 가야 되나요?
상담사,"네, 신분증 지참하시고 가까운 영업점에 방문하셔야 휴면 계좌 설정 해지가 됩니다."
고객,예전에 가입한 펀드 거래내역은 영업점에서 프린트로도 받아볼 수 있는 거죠?
상담사,"네, 맞습니다."
고객,알겠습니다.
상담사,
