Role,Dialogue
고객,우리은행 카드 문의 가능하지요?
상담사,네 가능합니다.
고객,무엇을 도와드릴까요?
상담사,제가 카드를 옛날에 만들어서 보안카드를 잃어버렸어요.
고객,어떻게 해야 하나요?
상담사,보안카드 분실신고하셨나요?
고객,"아니요, 아직 안 했어요."
상담사,"그럼 보안카드 분실 신고하시고 신분증 지참하시어, 가까운 영업점 방문하셔서."
고객,보안카드 재발급 받으시면 됩니다.
상담사,제가 직접 가야 하나요?
고객,네 본인 직접 방문해 주셔야 합니다.
상담사,영업시간이 어떻게 되는데요.
고객,오전 아홉시부터 17시까지 이용 가능합니다.
상담사,시간이 안 될 거 같은데 영업시간 내 영업점 방문이 어려우신 고객님은 영업점 내 설치되어 있는.
고객,스마트 키오스크를 통해 처리할 수 있습니다.
상담사,아 다행이네요.
고객,분실 신고는 어떻게 하죠?
상담사,유선이나 인터넷 스마트 뱅킹으로 신고 가능합니다.
고객,분실 신고는 아무 때나 가능한가요?
상담사,네 분실 신고는 24시간 삼백육십오일 가능합니다.
고객,유선 연락처 좀 알려주세요 000 공에.
상담사,"0000 또는 공공에 0000, 다시 0000으로 문의하시면 됩니다."
고객,
