Role,Dialogue
고객,월급 통장으로 추천할 만한 상품이 있나요?
상담사,월급 통장 말씀이시죠?
고객,급여 계좌가 연결된 통장을 만들고 싶다는 말씀이지요.
상담사,네 혜택이 좀 있는 것 같아서요.
고객,네 급여 개체로 이용하실 수 있는 좋은 통장이 있습니다.
상담사,그게 뭔데요?
고객,부자 되기 통장입니다.
상담사,거래 수수료 혜택과 저희은행 대출 상품 이용 시.
고객,우대금리 적용이 되는 통장입니다.
상담사,"아, 어떻게 만들 수 있나요?"
고객,매달 급여 이체를 저희 은행 계좌로 자동 입금되게 해두시면 됩니다.
상담사,급여 이체는 월에 50만 원 이상이셔야 합니다.
고객,그렇군요.
상담사,지정한 날짜에 들어오게 해야 되는 건가요?
고객,보통은 그러시지만 지정하지 않으시더라도.
상담사,월일의 급여 이상 급여가 들어오면 됩니다.
고객,그렇군요.
상담사,타행에서 송금을 해도 되나요?
고객,이 통장의 경우는 가능합니다.
상담사,급여 월급 등으로 표기되어 있어야 합니다.
고객,그렇군요.
상담사,만들 때 재직 증명서 같은 거 필요한가요?
고객,아닙니다.
상담사,신분증만 있으시면 가능합니다.
고객,"네, 잘 알겠습니다."
상담사,
