Role,Dialogue
고객,은행에 갔다가 모르고 가방을 놓고 왔어요.
상담사,"네, 무엇을 도와드릴까요?"
고객,그 대기하는 나온지 거기에 가방을 두고 나온 것 같아요.
상담사,"아, 그러셨군요."
고객,거기에 통장이랑 도장이 다 들어있는데 어떻게 하죠?
상담사,우선 방문하신 지점 연락처를 안내해 드릴까요?
고객,은행 직원이 주었으면 통장 보고 저한테 먼저 전화하지 않았을까요?
상담사,간혹 가방을 열어 주인을 찾는 정보를 찾는 것을 불편해하시는 분들이 계셔서요.
고객,아마 보관만 하고 주인이 연락 오기를 기다리고 계실 수도 있습니다.
상담사,은행에 전화해서 가방 있냐고 물어봐요.
고객,날짜와 대략적인 시간을 말씀하셔서 보관 중인 가방이 있는지 확인하시면 될 것 같습니다.
상담사,만약에 없으면 어떡하죠 만약?
고객,보관 중인 가방이 없다면 CCTV 를 확인해 볼 수 있습니다.
상담사,네 가방을 은행에 두고 가신 게 맞는지 확인하고 누가 가져갔는지도 확인할 수 있을 것 같습니다.
고객,"네, 알겠습니다."
상담사,방문하신 은행은 어느 지점이신가요?
고객,공공역에 있는 곳이었습니다.
상담사,공공지점 연락처는 공 공 다시 공공공공에 0000입니다.
고객,
