Role,Dialogue
고객,이 통장이라는 게 있다던데요.
상담사,어떻게 가입할 수 있는 건가요?
고객,인터넷 전용 상품으로 온라인 통한 가입만 가능합니다.
상담사,인터넷으로만 신청할 수 있나요?
고객,"네, 영업점에서는 취급하지 않습니다."
상담사,그렇군요.
고객,그럼 제가 알아보고 가입하는 건가요?
상담사,"네, 몇 가지 상품을 확인하시고 본인에게 적합한 것으로 가입하시면 됩니다."
고객,통장에 사용 목적이 있을까요?
상담사,일반 통장보다 이율이 조금 더 좋은 게 있으면 했어요.
고객,그런 게 있을까요?
상담사,"네, 영업점보다 이율이 좋은 이 통장이 있습니다."
고객,만들고 나서는 어떻게 거래하는 건가요?
상담사,인터넷 뱅킹과 ATM 기를 사용하시면 됩니다.
고객,통장은 안 주시는 거죠?
상담사,네 통장은 없습니다.
고객,이자율 말고도 장점은 없나요?
상담사,일반 통장 대비 온라인 거래 시 수수료 등에서 혜택이 보다 많습니다.
고객,그렇군요.
상담사,그럼 ATM 카드 같은 건 주시는 건가요?
고객,"네, 자택이나 근무지 주소로 보내드립니다."
상담사,잘 알겠습니다.
고객,
