Role,Dialogue
고객,이용자 번호가 어떤 거예요?
상담사,이용자 번호는 고객님께서 정한 아이디입니다.
고객,혼자 만들죠.
상담사,전자금융 신청할 때 만듭니다.
고객,언제 이용해요?
상담사,인증서 신규 재발급 시 이용합니다.
고객,이용자 번호를 찾을 수 있나요?
상담사,이용자 번호를 잊어버리셨나요?
고객,"네, 잊어버렸어요."
상담사,인증서 신규 화면에서 찾으실 수 있습니다.
고객,이용자 번호가 몇 자리예요 육에서 팔 자리입니다.
상담사,영문 숫자 합해서 그런가요?
고객,"네, 그렇습니다."
상담사,대문자 있나요?
고객,대소 문자 구별 없습니다.
상담사,은행 아이디와 다른가요?
고객,"네, 이용자 번호와는 다릅니다."
상담사,기억이 안 나는데요.
고객,계좌번호와 비밀번호로 찾을 수 있습니다.
상담사,수용자 번호도 바꿀 수 있나요?
고객,"네, 변경 가능합니다."
상담사,어떻게 바꾸나요?
고객,인터넷뱅킹 해지 후 신청 신규 신청하시면 됩니다.
상담사,지점 가서 해지하고 신규하는 건가요?
고객,"네, 그렇습니다."
상담사,
