Role,Dialogue
고객,이체 중에 otp 비밀번호 오류가 계속되네요.
상담사,어떻게 하죠?
고객,아예 전원이 안 들어오시나요?
상담사,"네, 발급받으신지 어느 정도 되셨나요?"
고객,잘 모르겠어요.
상담사,3년 넘었나?
고객,아무래도 배터리가 다 된 것 같습니다.
상담사,네 은행에 방문하셔서 재발급 받으셔야 합니다.
고객,OTP 처음 발행 받을 때 5000 원인가 냈는데 또 내야 하나요?
상담사,"네, 맞습니다."
고객,제가 그냥 분리해서 배터리 교체하면 안 되나요?
상담사,Otp 의 배터리 수명을 사용 빈도에 따라 삼에서 5년 정도로 보고 있는데요.
고객,그 기간에는 배터리뿐만 아니라 OTP 의 버튼 등의 부품 고장 기간도 포함을 하고 있습니다.
상담사,무슨 말씀이시죠?
고객,배터리 교체해서 쓰셔도 추후에 부품 고장 등으로 쓰시기 어려울 수 있습니다.
상담사,OTP 자체 유효기간이 있다는 거네요?
고객,"네, 맞습니다."
상담사,은행에서 교체하시는 게 가장 안전합니다.
고객,안전이요.
상담사,혹시나 타인에게서 otp 분리를 요청하여 일련번호와 비밀번호 계산 공식 노출의 위험이 있어서요.
고객,
