Role,Dialogue
고객,이체 한도 변경 방법 알고 싶습니다.
상담사,증액과 감액 중 어떤 변경이 궁금하십니까?
고객,증액하고 싶습니다.
상담사,얼마로 증액하길 원하시나요?
고객,2천만 원으로요.
상담사,사용하시는 보안 매체 먼저 확인하겠습니다.
고객,보안카드와 otp 중에 어떤 것을 사용하고 계시죠?
상담사,보안카드요.
고객,보안카드는 통합 한도가 1일 1천만 원으로 제한이 되어 있습니다.
상담사,그럼 어떻게 해야 하죠?
고객,은행에 방문하셔서 otp 로 변경하셔야 가능합니다.
상담사,그러면 그냥 천만 원까지만 올려주세요.
고객,한도를 증액하시려면 어차피 은행에 방문하셔야 하므로 필요하신 만큼 설정하시면 될 것 같습니다.
상담사,네 인터넷 뱅킹으로는 가맹만 가능합니다.
고객,은행 가는 게 귀찮아서 전화 드렸던 건데 금융범죄를 예방하기 위한 것이니 불편하시더라도 양해 부탁드립니다.
상담사,알겠어요.
고객,본점이나 지점 어디든 상관없어요.
상담사,"네, 상관없습니다."
고객,알겠습니다.
상담사,
