Role,Dialogue
고객,이체 한도가 뭐예요?
상담사,일회 이체 한도는 한 번에 이체가 가능한 금액을 말합니다.
고객,1일 이체 한도는요?
상담사,하루에 이체가 가능한 금액 합기입니다.
고객,그럼 1일 이체 한도는 다음날 초기화 되는 건가요?
상담사,"네, 그렇습니다."
고객,은행에서 허용하는 최대 한도가 얼마나 되나요?
상담사,"일 회 최대 이체 한도는 1억 원 이내, 1일 이체 한도는 5억 원 이내입니다."
고객,그보다 더 큰 금액을 이체해야 하는 경우에는요?
상담사,은행에 방문하셔서 사유와 함께 신청해 주세요.
고객,인터넷 뱅킹으로도 이체 한도를 조정할 수 있나요?
상담사,인터넷 뱅킹은 이체 한도 가액만 가능해요.
고객,어디에서 신청하나요?
상담사,개인 뱅킹에 공인인증서 로그인 하신 후 말씀 중에 끊어서 죄송한데 아이디랑 비번으로 로그인해도 되는 거죠?
고객,네 가능합니다.
상담사,네 로그인 다음은요.
고객,뱅킹 관리에서 이체 한도 조회 감액에서 조정할 수 있습니다.
상담사,"아, 지금 제 이체 한도가 너무 낮은데 올리려면 어떻게 해야 하죠?"
고객,은행에 방문해 주세요.
상담사,
