Role,Dialogue
고객,이체내역 조회방법 알려주세요 이체내역은 모바일 앱이나 인터넷 홈페이지에서 조회할 수 있습니다.
상담사,모바일 앱으로 어떻게 하는지 알려주세요.
고객,모바일 앱을 실행하고 좌측 상단에 이체 이체 내역 조회를 선택하시면 됩니다.
상담사,인터넷으로는 어떻게 확인하나요?
고객,은행 홈페이지에 상담메뉴에서 이체.
상담사,이체 내역 조회를 선택하시면 됩니다.
고객,필터 가능한가요?
상담사,수취인 계좌번호나 입금 날짜 같은 걸로요.
고객,"네, 입금 출금 계좌 및 입금 날짜로 조회할 수 있습니다."
상담사,공인인증서 필요한가요?
고객,네 모바일 앱과 홈페이지 모두 공인인증서를 통해 로그인하셔야 합니다.
상담사,인증서 없으면 어떡하죠?
고객,가까운 은행에 방문하셔서 발급받으실 수 있습니다.
상담사,인증서 없이 조회 못하나요?
고객,모바일 조회하기로 가능합니다.
상담사,그건 인증서 필요 없어요.
고객,네 계좌번호와 비밀번호를 확인합니다.
상담사,OTP 는 있는데 그걸로 안돼요.
고객,"네, 공인인증서가 필요합니다."
상담사,알겠습니다.
고객,"네, 고맙습니다."
상담사,
