Role,Dialogue
고객,이체를 하려고 하는데 이체 한도 때문이라고 에러가 뜹니다.
상담사,인터넷 뱅킹을 통한 이체 한도 때문에 이체가 되지 않는다는 말씀이신가요?
고객,"네, 맞습니다."
상담사,고객님이 소지하신 게 보안카드인가요?
고객,OTP 인가요?
상담사,보안카드입니다.
고객,보안카드는 일회 이체한도 공백만원 1일 이체한도.
상담사,공천만 원 이하입니다.
고객,이체 한도를 변경할 수 있나요?
상담사,증액일 경우 모바일 뱅킹에서 비대면 실명 확인 후 등급별 한도 내에서 증액이 가능합니다.
고객,더 많은 금액을 자주 이체하신다면 OTP 로 변경하시는 건 어떨까요?
상담사,OTP 는 이체 한도가 더 높나요?
고객,일회 이체 한도는?
상담사,OTP 인 경우에는 공억 원 이하입니다.
고객,1일 이체 한도도 있나요?
상담사,1일 이체 한도는 공공억 원 이하입니다.
고객,Otp 는 어떻게 발급받을 수 있나요?
상담사,영업점을 방문하셔서 발급받으실 수 있습니다.
고객,Otp 발급 비용이 있나요?
상담사,일반형은 공천 원이고 카드형은?
고객,공만 원입니다.
상담사,필요 서류가 있나요?
고객,본인 신분증만 챙겨 가시면 바로 발급 가능합니다.
상담사,
