Role,Dialogue
고객,이체에 관해 여쭤봐도 될까요?
상담사,계좌이체할 때 제가 내 통장 표시를 바꾸거든요.
고객,그러다 보니 나중에 통장을 봤을 때 누구에게 보냈는지 알 수가 없네요.
상담사,그럼 어떤 것을 도와 드릴까요?
고객,이걸 조회할 방법이 없나요?
상담사,인터넷 뱅킹으로 조회하는 방법을 안내해 드리면 될까요?
고객,안 그래도 그렇게 거래 내역을 조회해 봤는데 통장이랑 똑같이 나오던데요?
상담사,이체 결과 조회를 이용하시면 계좌번호와 예금주를 동시에 확인하실 수 있어요.
고객,"아, 그렇군요."
상담사,그럼 스마트 뱅킹으로도 가능한 거예요?
고객,"네, 가능합니다."
상담사,이체 결과 조회 버튼이 안 보이는데요.
고객,상단에 검색을 눌러 이체 결과 조회를 검색해 주시면 됩니다.
상담사,스마트 뱅킹은 메뉴가 거의 없는 것 같았는데 검색하면 되는 거였네요?
고객,"네, 맞습니다."
상담사,그럼 제가 이체 받은 건도 예금주를 알 수 있어요.
고객,"아니요, 이체하신 건만 확인이 가능합니다."
상담사,축의금을 축하한다고 메시지로 받았는데 누군지 알고 싶어서요.
고객,인터넷 뱅킹으로 조회는 불가능한데 은행에 방문해 주시면 안내해 드리겠습니다.
상담사,
