Role,Dialogue
고객,이체하려고 하는데 기간 종료 상태 오류는 왜 나오나요?
상담사,상대 입금 계좌가 입금 받을 수 없는 조건일 때 발생됩니다.
고객,입금 계좌가 가상 계좌이신가요?
상담사,"네, 맞아요."
고객,그럼 해당 가상 계좌 입금 가능 시간을 확인하셔서 다시 이용해 주시길 바랍니다.
상담사,신탁 입금 계좌에.
고객,기간 미개시 상태 오류가 뜨네요.
상담사,입금 은행에서 해당 계좌 입금 가능 시간을 제한할 수 있습니다.
고객,"네, 계좌번호 입력 실수로 모르는 사람한테 이체를 잘못했는데 돌려받을 수 있나요?"
상담사,"은행명 금액, 계좌번호 등 입력 실수로 착오 송금 시 금융기관은 중재 기능의 역할만 수행 가능하며."
고객,수치인에 동의 없이 임의로 취소하거나 수치인 계좌에 지급 정지 등의 제한 조치를 취하기는 어렵습니다.
상담사,그럼 어떻게 하죠?
고객,금융기관을 통해 수치인의 동의를 받아야 반환을 받을 수 있습니다.
상담사,수치인이 동의를 안 하거나 연락이 안 되면요?
고객,고객님께서 직접 부당 이익 반환 소송 등의 법적 조치를 취하셔야 합니다.
상담사,지금 반환 신청부터 할 수 있어요.
고객,"네, 출금 은행으로 먼저 접수하셔서 가능하십니다."
상담사,소송 절차는 어디에 문의해야 되나요?
고객,대한법률구조공단에 문의하시면 됩니다.
상담사,전화번호 알 수 있을까요?
고객,쿠폰 없이.
상담사,132입니다.
고객,
